gyro_x (deg/s),gyro_y (deg/s),gyro_z (deg/s)
-1.863355536758986038e-05,3.543207516733844556e-03,2.214042444908673971e-03
-1.865139743031934502e-05,3.543207509533405093e-03,2.214042456431783261e-03
-1.866925892775496290e-05,3.543207502326070103e-03,2.214042467965926259e-03
-1.868713791642594925e-05,3.543207495111832649e-03,2.214042479511115109e-03
-1.870503264720859373e-05,3.543207487890687093e-03,2.214042491067360219e-03
-1.872294154589157773e-05,3.543207480662626495e-03,2.214042502634671564e-03
-1.874086319568470332e-05,3.543207473427645651e-03,2.214042514213057818e-03
-1.875879632147679608e-05,3.543207466185739358e-03,2.214042525802526785e-03
-1.877673977566779497e-05,3.543207458936902844e-03,2.214042537403085840e-03
-1.879469252541765046e-05,3.543207451681132641e-03,2.214042549014741054e-03
-1.881265364117030886e-05,3.543207444418425278e-03,2.214042560637498065e-03
-1.883062228632532791e-05,3.543207437148776853e-03,2.214042572271363377e-03
-1.884859770794232044e-05,3.543207429872185631e-03,2.214042583916340026e-03
-1.886657922837491834e-05,3.543207422588647276e-03,2.214042595572431917e-03
-1.888456623774139166e-05,3.543207415298161352e-03,2.214042607239645119e-03
-1.890255818714820210e-05,3.543207408000723958e-03,2.214042618917980501e-03
-1.892055458259115229e-05,3.543207400696334226e-03,2.214042630607442833e-03
-1.893855497946646664e-05,3.543207393384990422e-03,2.214042642308033850e-03
-1.895655897763072917e-05,3.543207386066691243e-03,2.214042654019756154e-03
-1.897456621695489565e-05,3.543207378741434089e-03,2.214042665742612780e-03
-1.899257637332281168e-05,3.543207371409218959e-03,2.214042677476605030e-03
-1.901058915502993699e-05,3.543207364070043251e-03,2.214042689221735073e-03
-1.902860429954218393e-05,3.543207356723908266e-03,2.214042700978003774e-03
-1.904662157057888179e-05,3.543207349370810968e-03,2.214042712745413304e-03
-1.906464075548741844e-05,3.543207342010751791e-03,2.214042724523964962e-03
-1.908266166288044195e-05,3.543207334643729001e-03,2.214042736313659616e-03
-1.910068412050935048e-05,3.543207327269742597e-03,2.214042748114499002e-03
-1.911870797335038410e-05,3.543207319888792579e-03,2.214042759926482685e-03
-1.913673308188216631e-05,3.543207312500877646e-03,2.214042771749612400e-03
-1.915475932053544743e-05,3.543207305105996931e-03,2.214042783583889881e-03
-1.917278657629792950e-05,3.543207297704149567e-03,2.214042795429314696e-03
-1.919081474745851963e-05,3.543207290295337288e-03,2.214042807285887277e-03
-1.920884374247724575e-05,3.543207282879557926e-03,2.214042819153608493e-03
-1.922687347896811908e-05,3.543207275456811915e-03,2.214042831032479210e-03
-1.924490388278376601e-05,3.543207268027098386e-03,2.214042842922499428e-03
-1.926293488719154281e-05,3.543207260590417775e-03,2.214042854823670015e-03
-1.928096643213207014e-05,3.543207253146769212e-03,2.214042866735990538e-03
-1.929899846355190659e-05,3.543207245696153567e-03,2.214042878659461863e-03
-1.931703093280295828e-05,3.543207238238569104e-03,2.214042890594084857e-03
-1.933506379610193632e-05,3.543207230774016690e-03,2.214042902539858654e-03
-1.935309701404387526e-05,3.543207223302495459e-03,2.214042914496784555e-03
-1.937113055116431877e-05,3.543207215824006710e-03,2.214042926464862126e-03
-1.938916437554525613e-05,3.543207208338548710e-03,2.214042938444091800e-03
-1.940719845846045600e-05,3.543207200846121459e-03,2.214042950434473578e-03
-1.942523277405633494e-05,3.543207193346726257e-03,2.214042962436007025e-03
-1.944326729906465393e-05,3.543207185840361803e-03,2.214042974448694311e-03
-1.946130201254400396e-05,3.543207178327028098e-03,2.214042986472533701e-03
-1.947933689564711253e-05,3.543207170806726009e-03,2.214042998507525194e-03
-1.949737193141143335e-05,3.543207163279454234e-03,2.214043010553670091e-03
-1.951540710457068495e-05,3.543207155745213208e-03,2.214043022610967960e-03
-1.953344240138520687e-05,3.543207148204004231e-03,2.214043034679418365e-03
-1.955147780948929387e-05,3.543207140655824268e-03,2.214043046759023043e-03
-1.956951331775383087e-05,3.543207133100675921e-03,2.214043058849780258e-03
-1.958754891616259567e-05,3.543207125538557455e-03,2.214043070951690444e-03
-1.960558459570100286e-05,3.543207117969469737e-03,2.214043083064754468e-03
-1.962362034825591676e-05,3.543207110393412334e-03,2.214043095188971463e-03
-1.964165616652552036e-05,3.543207102810386980e-03,2.214043107324341429e-03
-1.965969204393817627e-05,3.543207095220389773e-03,2.214043119470866100e-03
-1.967772797457940242e-05,3.543207087623424616e-03,2.214043131628543309e-03
-1.969576395312618288e-05,3.543207080019490206e-03,2.214043143797373922e-03
-1.971379997478779077e-05,3.543207072408585245e-03,2.214043155977358374e-03
-1.973183603525256413e-05,3.543207064790711031e-03,2.214043168168496663e-03
-1.974987213064002817e-05,3.543207057165866699e-03,2.214043180370788358e-03
-1.976790825745773731e-05,3.543207049534053549e-03,2.214043192584232590e-03
-1.978594441256249797e-05,3.543207041895270713e-03,2.214043204808831961e-03
-1.980398059312543695e-05,3.543207034249517759e-03,2.214043217044584302e-03
-1.982201679660055955e-05,3.543207026596795553e-03,2.214043229291490483e-03
-1.984005302069648580e-05,3.543207018937103662e-03,2.214043241549550501e-03
-1.985808926335096153e-05,3.543207011270442519e-03,2.214043253818763490e-03
