ref_vel_x (m/s),ref_vel_y (m/s),ref_vel_z (m/s)
2.292000001454994162e+00,-1.403445232713793806e-16,2.806890465427587613e-16
2.294000001309494774e+00,-1.404669879423848316e-16,2.809339758847696631e-16
2.296000001178545080e+00,-1.405894526142812269e-16,2.811789052285624538e-16
2.298000001060690689e+00,-1.407119172869794501e-16,2.814238345739589002e-16
2.300000000954621537e+00,-1.408343819603993331e-16,2.816687639207986661e-16
2.302000000859159456e+00,-1.409568466344686951e-16,2.819136932689373902e-16
2.304000000773243517e+00,-1.410793113091226030e-16,2.821586226182452061e-16
2.306000000695918928e+00,-1.412017759843025580e-16,2.824035519686051159e-16
2.308000000626326820e+00,-1.413242406599560266e-16,2.826484813199120533e-16
2.310000000563694034e+00,-1.414467053360356035e-16,2.828934106720712069e-16
2.312000000507324682e+00,-1.415691700124987146e-16,2.831383400249974292e-16
2.314000000456592154e+00,-1.416916346893069770e-16,2.833832693786139541e-16
2.316000000410932902e+00,-1.418140993664258781e-16,2.836281987328517562e-16
2.318000000369839331e+00,-1.419365640438243564e-16,2.838731280876487128e-16
2.320000000332855361e+00,-1.420590287214744813e-16,2.841180574429489627e-16
2.322000000299569766e+00,-1.421814933993510586e-16,2.843629867987021173e-16
2.324000000269612620e+00,-1.423039580774314579e-16,2.846079161548629158e-16
2.326000000242651300e+00,-1.424264227556952920e-16,2.848528455113905839e-16
2.328000000218386045e+00,-1.425488874341241952e-16,2.850977748682483903e-16
2.330000000196547294e+00,-1.426713521127017001e-16,2.853427042254034001e-16
2.332000000176892573e+00,-1.427938167914129415e-16,2.855876335828258830e-16
2.334000000159203392e+00,-1.429162814702445089e-16,2.858325629404890178e-16
2.336000000143283017e+00,-1.430387461491843968e-16,2.860774922983687935e-16
2.338000000128954703e+00,-1.431612108282217829e-16,2.863224216564435658e-16
2.340000000116059020e+00,-1.432836755073468805e-16,2.865673510146937610e-16
2.342000000104452972e+00,-1.434061401865509628e-16,2.868122803731019256e-16
2.344000000094007774e+00,-1.435286048658261166e-16,2.870572097316522331e-16
2.346000000084607073e+00,-1.436510695451652174e-16,2.873021390903304347e-16
2.348000000076146510e+00,-1.437735342245619050e-16,2.875470684491238100e-16
2.350000000068531936e+00,-1.438959989040103616e-16,2.877919978080207232e-16
2.352000000061678531e+00,-1.440184635835054596e-16,2.880369271670109193e-16
2.354000000055510800e+00,-1.441409282630425398e-16,2.882818565260850797e-16
2.356000000049959908e+00,-1.442633929426173621e-16,2.885267858852347243e-16
2.358000000044964128e+00,-1.443858576222262040e-16,2.887717152444524081e-16
2.360000000040467949e+00,-1.445083223018656143e-16,2.890166446037312286e-16
2.362000000036421188e+00,-1.446307869815325607e-16,2.892615739630651215e-16
2.364000000032778992e+00,-1.447532516612242824e-16,2.895065033224485647e-16
2.366000000029500949e+00,-1.448757163409382893e-16,2.897514326818765786e-16
2.368000000026550644e+00,-1.449981810206723875e-16,2.899963620413447750e-16
2.370000000023895659e+00,-1.451206457004245309e-16,2.902412914008490619e-16
2.372000000021506239e+00,-1.452431103801929693e-16,2.904862207603859385e-16
2.374000000019355738e+00,-1.453655750599760262e-16,2.907311501199520523e-16
2.376000000017420177e+00,-1.454880397397722472e-16,2.909760794795444944e-16
2.378000000015678239e+00,-1.456105044195803011e-16,2.912210088391606023e-16
2.380000000014110384e+00,-1.457329690993990540e-16,2.914659381987981080e-16
2.382000000012699292e+00,-1.458554337792273718e-16,2.917108675584547436e-16
2.384000000011429421e+00,-1.459778984590643424e-16,2.919557969181286848e-16
2.386000000010286559e+00,-1.461003631389091030e-16,2.922007262778182061e-16
2.388000000009257828e+00,-1.462228278187608401e-16,2.924456556375216803e-16
2.390000000008332126e+00,-1.463452924986189128e-16,2.926905849972378256e-16
2.392000000007498794e+00,-1.464677571784826061e-16,2.929355143569652122e-16
2.394000000006748952e+00,-1.465902218583514270e-16,2.931804437167028539e-16
2.396000000006074160e+00,-1.467126865382248577e-16,2.934253730764497155e-16
2.398000000005466870e+00,-1.468351512181024054e-16,2.936703024362048108e-16
2.400000000004920420e+00,-1.469576158979836755e-16,2.939152317959673510e-16
2.402000000004428593e+00,-1.470800805778682982e-16,2.941601611557365965e-16
2.404000000003985615e+00,-1.472025452577559039e-16,2.944050905155118077e-16
2.406000000003587047e+00,-1.473250099376462459e-16,2.946500198752924917e-16
2.408000000003228447e+00,-1.474474746175390037e-16,2.948949492350780075e-16
2.410000000002905818e+00,-1.475699392974339803e-16,2.951398785948679606e-16
