ref_gps_lat (deg),ref_gps_lon (deg),ref_gps_alt (m),ref_gps_vN (m/s),ref_gps_vE (m/s),ref_gps_vD (m/s)
3.200013681248398001e+01,1.199999999999999858e+02,-1.857874919582462880e-15,3.161999999999935529e+00,-1.936166589451926004e-16,3.872333178903852009e-16
3.200013967215678434e+01,1.199999999999999858e+02,-1.896708469583423746e-15,3.181999999999933326e+00,-1.948413057443398030e-16,3.896826114886796060e-16
3.200014254986599127e+01,1.199999999999999858e+02,-1.935786948944216177e-15,3.201999999999931124e+00,-1.960659525434870303e-16,3.921319050869740605e-16
3.200014544561161500e+01,1.199999999999999858e+02,-1.975110357664837018e-15,3.221999999999928921e+00,-1.972905993426342575e-16,3.945811986852685150e-16
3.200014835939364133e+01,1.199999999999999858e+02,-2.014678695745286270e-15,3.241999999999926718e+00,-1.985152461417814601e-16,3.970304922835629202e-16
3.200015129121208446e+01,1.199999999999999858e+02,-2.054491963185565509e-15,3.261999999999924515e+00,-1.997398929409286873e-16,3.994797858818573746e-16
3.200015424106693018e+01,1.199999999999999858e+02,-2.094550159985675525e-15,3.281999999999922313e+00,-2.009645397400759145e-16,4.019290794801518291e-16
3.200015720895817850e+01,1.199999999999999858e+02,-2.134853286145613951e-15,3.301999999999920110e+00,-2.021891865392231171e-16,4.043783730784462343e-16
3.200016019488584362e+01,1.199999999999999858e+02,-2.175401341665380787e-15,3.321999999999917907e+00,-2.034138333383703444e-16,4.068276666767406887e-16
3.200016319884991844e+01,1.199999999999999858e+02,-2.216194326544978400e-15,3.341999999999915705e+00,-2.046384801375175716e-16,4.092769602750351432e-16
3.200016622085039586e+01,1.199999999999999858e+02,-2.257232240784406000e-15,3.361999999999913502e+00,-2.058631269366647742e-16,4.117262538733295484e-16
3.200016926088728297e+01,1.199999999999999858e+02,-2.298515084383662011e-15,3.381999999999911299e+00,-2.070877737358120014e-16,4.141755474716240028e-16
3.200017231896058689e+01,1.199999999999999858e+02,-2.340042857342746431e-15,3.401999999999909097e+00,-2.083124205349592040e-16,4.166248410699184080e-16
3.200017539507028630e+01,1.199999999999999858e+02,-2.381815559661662417e-15,3.421999999999906894e+00,-2.095370673341064312e-16,4.190741346682128625e-16
3.200017848921640251e+01,1.199999999999999858e+02,-2.423833191340407602e-15,3.441999999999904691e+00,-2.107617141332536585e-16,4.215234282665073170e-16
3.200018160139892842e+01,1.199999999999999858e+02,-2.466095752378981198e-15,3.461999999999902489e+00,-2.119863609324008611e-16,4.239727218648017221e-16
3.200018473161785693e+01,1.199999999999999858e+02,-2.508603242777383203e-15,3.481999999999900286e+00,-2.132110077315480883e-16,4.264220154630961766e-16
3.200018787987318802e+01,1.199999999999999858e+02,-2.551355662535617562e-15,3.501999999999898083e+00,-2.144356545306953155e-16,4.288713090613906311e-16
3.200019104616494303e+01,1.199999999999999858e+02,-2.594353011653680332e-15,3.521999999999895881e+00,-2.156603013298425181e-16,4.313206026596850362e-16
3.200019423049310063e+01,1.199999999999999858e+02,-2.637595290131571512e-15,3.541999999999893678e+00,-2.168849481289897454e-16,4.337698962579794907e-16
3.200019743285765372e+01,1.199999999999999858e+02,-2.681082497969291496e-15,3.561999999999891475e+00,-2.181095949281369726e-16,4.362191898562739452e-16
3.200020065325863072e+01,1.199999999999999858e+02,-2.724814635166843440e-15,3.581999999999889273e+00,-2.193342417272841752e-16,4.386684834545683504e-16
3.200020389169601032e+01,1.199999999999999858e+02,-2.768791701724223794e-15,3.601999999999887070e+00,-2.205588885264314024e-16,4.411177770528628048e-16
3.200020714816979250e+01,1.199999999999999858e+02,-2.813013697641432558e-15,3.621999999999884867e+00,-2.217835353255786050e-16,4.435670706511572100e-16
3.200021042267999860e+01,1.199999999999999858e+02,-2.857480622918470916e-15,3.641999999999882665e+00,-2.230081821247258322e-16,4.460163642494516645e-16
3.200021371522660019e+01,1.199999999999999858e+02,-2.902192477555340445e-15,3.661999999999880462e+00,-2.242328289238730595e-16,4.484656578477461189e-16
3.200021702580961147e+01,1.199999999999999858e+02,-2.947149261552038383e-15,3.681999999999878259e+00,-2.254574757230202867e-16,4.509149514460405734e-16
3.200022035442902535e+01,1.199999999999999858e+02,-2.992350974908564732e-15,3.701999999999876056e+00,-2.266821225221675139e-16,4.533642450443350279e-16
3.200022370108485603e+01,1.199999999999999858e+02,-3.037797617624921463e-15,3.721999999999873854e+00,-2.279067693213146919e-16,4.558135386426293837e-16
3.200022706577709641e+01,1.199999999999999858e+02,-3.083489189701108577e-15,3.741999999999871651e+00,-2.291314161204619191e-16,4.582628322409238382e-16
3.200023044850573939e+01,1.199999999999999858e+02,-3.129425691137124100e-15,3.761999999999869448e+00,-2.303560629196091463e-16,4.607121258392182927e-16
3.200023384927079206e+01,1.199999999999999858e+02,-3.175607121932968033e-15,3.781999999999867246e+00,-2.315807097187563736e-16,4.631614194375127472e-16
3.200023726807225444e+01,1.199999999999999858e+02,-3.222033482088643138e-15,3.801999999999865043e+00,-2.328053565179036008e-16,4.656107130358072016e-16
3.200024070491011940e+01,1.199999999999999858e+02,-3.268704771604147836e-15,3.821999999999862840e+00,-2.340300033170507787e-16,4.680600066341015575e-16
3.200024415978439407e+01,1.199999999999999858e+02,-3.315620990479480944e-15,3.841999999999860638e+00,-2.352546501161980060e-16,4.705093002323960120e-16
3.200024763269507844e+01,1.199999999999999858e+02,-3.362782138714642462e-15,3.861999999999858435e+00,-2.364792969153452332e-16,4.729585938306904664e-16
3.200025112364216540e+01,1.199999999999999858e+02,-3.410188216309635939e-15,3.881999999999856232e+00,-2.377039437144924605e-16,4.754078874289849209e-16
3.200025463262566916e+01,1.199999999999999858e+02,-3.457839223264458222e-15,3.901999999999854030e+00,-2.389285905136396877e-16,4.778571810272793754e-16
3.200025815964557552e+01,1.199999999999999858e+02,-3.505735159579108914e-15,3.921999999999851827e+00,-2.401532373127869149e-16,4.803064746255738299e-16
3.200026170470189157e+01,1.199999999999999858e+02,-3.553876025253588017e-15,3.941999999999849624e+00,-2.413778841119340929e-16,4.827557682238681857e-16
3.200026526779461022e+01,1.199999999999999858e+02,-3.602261820287895530e-15,3.961999999999847422e+00,-2.426025309110813201e-16,4.852050618221626402e-16
3.200026884892374568e+01,1.199999999999999858e+02,-3.650892544682033030e-15,3.981999999999845219e+00,-2.438271777102285473e-16,4.876543554204570947e-16
3.200027244317654151e+01,1.199999999999999858e+02,-3.699701484868972842e-15,3.985447576156245120e+00,-2.440382808654661341e-16,4.880765617309322683e-16
3.200027603316545566e+01,1.199999999999999858e+02,-3.748452522676066200e-15,3.973623240434584147e+00,-2.433142491207873325e-16,4.866284982415746650e-16
3.200027960992014187e+01,1.199999999999999858e+02,-3.797023843398966183e-15,3.956473918301936621e+00,-2.422641559979226604e-16,4.845283119958453207e-16
3.200028317031282654e+01,1.199999999999999858e+02,-3.845372972876582733e-15,3.937467888213952438e+00,-2.411003723023352660e-16,4.822007446046705320e-16
3.200028671325293317e+01,1.199999999999999858e+02,-3.893485101284678306e-15,3.917814464092380877e+00,-2.398969471551968566e-16,4.797938943103937131e-16
3.200029023836020059e+01,1.199999999999999858e+02,-3.941355064756841430e-15,3.897935307629047941e+00,-2.386796998885683385e-16,4.773593997771366770e-16
