ref_gps_lat (deg),ref_gps_lon (deg),ref_gps_alt (m),ref_gps_vN (m/s),ref_gps_vE (m/s),ref_gps_vD (m/s)
3.200002525097447403e+01,1.199999999999999858e+02,-3.429011037612582866e-16,2.000000000000000000e+00,-1.224646799147353207e-16,2.449293598294706414e-16
3.200002705461550789e+01,1.199999999999999858e+02,-3.673940397442052966e-16,2.000000000000000000e+00,-1.224646799147353207e-16,2.449293598294706414e-16
3.200002885825654175e+01,1.199999999999999858e+02,-3.918869757271523065e-16,2.000000000000000000e+00,-1.224646799147353207e-16,2.449293598294706414e-16
3.200003066189756851e+01,1.199999999999999858e+02,-4.163799117100993164e-16,2.000000000000000000e+00,-1.224646799147353207e-16,2.449293598294706414e-16
3.200003246553859526e+01,1.199999999999999858e+02,-4.408728476930463263e-16,2.000000000000000000e+00,-1.224646799147353207e-16,2.449293598294706414e-16
3.200003426917962202e+01,1.199999999999999858e+02,-4.653657836759937799e-16,2.000000000000000000e+00,-1.224646799147353207e-16,2.449293598294706414e-16
3.200003607282065587e+01,1.199999999999999858e+02,-4.898587196589412829e-16,2.000000000000000000e+00,-1.224646799147353207e-16,2.449293598294706414e-16
3.200003787646168263e+01,1.199999999999999858e+02,-5.143516556418887858e-16,2.000000000000000000e+00,-1.224646799147353207e-16,2.449293598294706414e-16
3.200003968010270228e+01,1.199999999999999858e+02,-5.388445916248362888e-16,2.000000000000000000e+00,-1.224646799147353207e-16,2.449293598294706414e-16
3.200004148374373614e+01,1.199999999999999858e+02,-5.633375276077837917e-16,2.000000000000000000e+00,-1.224646799147353207e-16,2.449293598294706414e-16
3.200004328738476289e+01,1.199999999999999858e+02,-5.878304635907312947e-16,2.000000000000000000e+00,-1.224646799147353207e-16,2.449293598294706414e-16
3.200004509102578254e+01,1.199999999999999858e+02,-6.123233995736787976e-16,2.000000000000000000e+00,-1.224646799147353207e-16,2.449293598294706414e-16
3.200004689466680219e+01,1.199999999999999858e+02,-6.368163355566263006e-16,2.000000000000000000e+00,-1.224646799147353207e-16,2.449293598294706414e-16
3.200004869830783605e+01,1.199999999999999858e+02,-6.613092715395738035e-16,2.000000000000000000e+00,-1.224646799147353207e-16,2.449293598294706414e-16
3.200005050194885570e+01,1.199999999999999858e+02,-6.858022075225213064e-16,2.000000000000000000e+00,-1.224646799147353207e-16,2.449293598294706414e-16
3.200005230558987535e+01,1.199999999999999858e+02,-7.102951435054688094e-16,2.000000000000000000e+00,-1.224646799147353207e-16,2.449293598294706414e-16
3.200005410923090210e+01,1.199999999999999858e+02,-7.347880794884163123e-16,2.000000000000000000e+00,-1.224646799147353207e-16,2.449293598294706414e-16
3.200005591287192175e+01,1.199999999999999858e+02,-7.592810154713638153e-16,2.000000000000000000e+00,-1.224646799147353207e-16,2.449293598294706414e-16
3.200005771651294140e+01,1.199999999999999858e+02,-7.837739514543113182e-16,2.000000000000000000e+00,-1.224646799147353207e-16,2.449293598294706414e-16
3.200005952015396815e+01,1.199999999999999858e+02,-8.082668874372588212e-16,2.000000000000000000e+00,-1.224646799147353207e-16,2.449293598294706414e-16
3.200006132379498780e+01,1.199999999999999858e+02,-8.327598234202063241e-16,2.000000000000000000e+00,-1.224646799147353207e-16,2.449293598294706414e-16
3.200006312743600745e+01,1.199999999999999858e+02,-8.572527594031538271e-16,2.000000000000000000e+00,-1.224646799147353207e-16,2.449293598294706414e-16
3.200006493107702710e+01,1.199999999999999858e+02,-8.817456953861013300e-16,2.000000000000000000e+00,-1.224646799147353207e-16,2.449293598294706414e-16
3.200006673471803964e+01,1.199999999999999858e+02,-9.062386313690487344e-16,2.000000000000000000e+00,-1.224646799147353207e-16,2.449293598294706414e-16
3.200006853835906639e+01,1.199999999999999858e+02,-9.307315673519962373e-16,2.000000000000000000e+00,-1.224646799147353207e-16,2.449293598294706414e-16
3.200007034200007894e+01,1.199999999999999858e+02,-9.552245033349437403e-16,2.000000000000000000e+00,-1.224646799147353207e-16,2.449293598294706414e-16
3.200007214564109859e+01,1.199999999999999858e+02,-9.797174393178912432e-16,2.000000000000000000e+00,-1.224646799147353207e-16,2.449293598294706414e-16
3.200007394928211824e+01,1.199999999999999858e+02,-1.004210375300838746e-15,2.000000000000000000e+00,-1.224646799147353207e-16,2.449293598294706414e-16
3.200007575292313788e+01,1.199999999999999858e+02,-1.028703311283786249e-15,2.000000000000000000e+00,-1.224646799147353207e-16,2.449293598294706414e-16
3.200007755656415043e+01,1.199999999999999858e+02,-1.053196247266733752e-15,2.000000000000000000e+00,-1.224646799147353207e-16,2.449293598294706414e-16
3.200007936020516297e+01,1.199999999999999858e+02,-1.077689183249681255e-15,2.000000000000000000e+00,-1.224646799147353207e-16,2.449293598294706414e-16
3.200008116384617551e+01,1.199999999999999858e+02,-1.102182119232628758e-15,2.000000000000000000e+00,-1.224646799147353207e-16,2.449293598294706414e-16
3.200008296748718806e+01,1.199999999999999858e+02,-1.126675055215576261e-15,2.000000000000000000e+00,-1.224646799147353207e-16,2.449293598294706414e-16
3.200008477112820771e+01,1.199999999999999858e+02,-1.151167991198523764e-15,2.000000000000000000e+00,-1.224646799147353207e-16,2.449293598294706414e-16
3.200008657476922025e+01,1.199999999999999858e+02,-1.175660927181471267e-15,2.000000000000000000e+00,-1.224646799147353207e-16,2.449293598294706414e-16
3.200008837841023279e+01,1.199999999999999858e+02,-1.200153863164418770e-15,2.000000000000000000e+00,-1.224646799147353207e-16,2.449293598294706414e-16
3.200009018205124534e+01,1.199999999999999858e+02,-1.224646799147366273e-15,2.000000000000000000e+00,-1.224646799147353207e-16,2.449293598294706414e-16
3.200009198569225788e+01,1.199999999999999858e+02,-1.249139735130313776e-15,2.000000000000000000e+00,-1.224646799147353207e-16,2.449293598294706414e-16
3.200009378933326332e+01,1.199999999999999858e+02,-1.273632671113261279e-15,2.000000000000000000e+00,-1.224646799147353207e-16,2.449293598294706414e-16
3.200009559297427586e+01,1.199999999999999858e+02,-1.298125607096208782e-15,2.000000000000000000e+00,-1.224646799147353207e-16,2.449293598294706414e-16
3.200009739661529551e+01,1.199999999999999858e+02,-1.322618543079156284e-15,2.000000000000000000e+00,-1.224646799147353207e-16,2.449293598294706414e-16
3.200009920025630095e+01,1.199999999999999858e+02,-1.347111479062103787e-15,2.000000000000000000e+00,-1.224646799147353207e-16,2.449293598294706414e-16
3.200010100389731349e+01,1.199999999999999858e+02,-1.371604415045051290e-15,2.000000000000000000e+00,-1.224646799147353207e-16,2.449293598294706414e-16
3.200010280753831182e+01,1.199999999999999858e+02,-1.396097351027998793e-15,2.000000000000000000e+00,-1.224646799147353207e-16,2.449293598294706414e-16
3.200010461117932437e+01,1.199999999999999858e+02,-1.420590287010946296e-15,2.000000000000000000e+00,-1.224646799147353207e-16,2.449293598294706414e-16
3.200010641482032980e+01,1.199999999999999858e+02,-1.445083222993893799e-15,2.000000000000000000e+00,-1.224646799147353207e-16,2.449293598294706414e-16
3.200010821846134235e+01,1.199999999999999858e+02,-1.469576158976841302e-15,2.000000000000000000e+00,-1.224646799147353207e-16,2.449293598294706414e-16
3.200011002210234778e+01,1.199999999999999858e+02,-1.494069094959788805e-15,2.000000000000000000e+00,-1.224646799147353207e-16,2.449293598294706414e-16
3.200011182574335322e+01,1.199999999999999858e+02,-1.518562030942736308e-15,2.000000000000000000e+00,-1.224646799147353207e-16,2.449293598294706414e-16
3.200011362938435866e+01,1.199999999999999858e+02,-1.543054966925683811e-15,2.000000000000000000e+00,-1.224646799147353207e-16,2.449293598294706414e-16
3.200011543302536410e+01,1.199999999999999858e+02,-1.567547902908631314e-15,2.000000000000000000e+00,-1.224646799147353207e-16,2.449293598294706414e-16
3.200011723666636954e+01,1.199999999999999858e+02,-1.592040838891578817e-15,2.000000000000000000e+00,-1.224646799147353207e-16,2.449293598294706414e-16
3.200011904030737497e+01,1.199999999999999858e+02,-1.616533774874526320e-15,2.000000000000000000e+00,-1.224646799147353207e-16,2.449293598294706414e-16
3.200012084394837331e+01,1.199999999999999858e+02,-1.641026710857473823e-15,2.000000000000000000e+00,-1.224646799147353207e-16,2.449293598294706414e-16
3.200012264758937874e+01,1.199999999999999858e+02,-1.665519646840421326e-15,2.000000000000000000e+00,-1.224646799147353207e-16,2.449293598294706414e-16
3.200012445123038418e+01,1.199999999999999858e+02,-1.690012582823368829e-15,2.000000000000000000e+00,-1.224646799147353207e-16,2.449293598294706414e-16
3.200012625487138251e+01,1.199999999999999858e+02,-1.714505518806316332e-15,2.000000000000000000e+00,-1.224646799147353207e-16,2.449293598294706414e-16
3.200012805851238085e+01,1.199999999999999858e+02,-1.738998454789263835e-15,2.000000000000000000e+00,-1.224646799147353207e-16,2.449293598294706414e-16
3.200012986215338628e+01,1.199999999999999858e+02,-1.763491390772211338e-15,2.000000000000000000e+00,-1.224646799147353207e-16,2.449293598294706414e-16
3.200013166579439172e+01,1.199999999999999858e+02,-1.787984326755158643e-15,2.000000000000000000e+00,-1.224646799147353207e-16,2.449293598294706414e-16
3.200013346943538295e+01,1.199999999999999858e+02,-1.812477262738106146e-15,2.000000000000000000e+00,-1.224646799147353207e-16,2.449293598294706414e-16
3.200013527307638839e+01,1.199999999999999858e+02,-1.836970198721053649e-15,2.000000000000000000e+00,-1.224646799147353207e-16,2.449293598294706414e-16
3.200013707671738672e+01,1.199999999999999858e+02,-1.861463134704001152e-15,2.000000000000000000e+00,-1.224646799147353207e-16,2.449293598294706414e-16
3.200013888035838505e+01,1.199999999999999858e+02,-1.885956070686948655e-15,2.000000000000000000e+00,-1.224646799147353207e-16,2.449293598294706414e-16
3.200014068399937628e+01,1.199999999999999858e+02,-1.910449006669896158e-15,2.000000000000000000e+00,-1.224646799147353207e-16,2.449293598294706414e-16
3.200014248764038172e+01,1.199999999999999858e+02,-1.934941942652843661e-15,2.000000000000000000e+00,-1.224646799147353207e-16,2.449293598294706414e-16
3.200014429128138005e+01,1.199999999999999858e+02,-1.959434878635791164e-15,2.000000000000000000e+00,-1.224646799147353207e-16,2.449293598294706414e-16
3.200014609492237838e+01,1.199999999999999858e+02,-1.983927814618738667e-15,2.000000000000000000e+00,-1.224646799147353207e-16,2.449293598294706414e-16
3.200014789856336250e+01,1.199999999999999858e+02,-2.008420750601686170e-15,2.000000000000000000e+00,-1.224646799147353207e-16,2.449293598294706414e-16
3.200014970220436084e+01,1.199999999999999858e+02,-2.032913686584633673e-15,2.000000000000000000e+00,-1.224646799147353207e-16,2.449293598294706414e-16
3.200015150584535917e+01,1.199999999999999858e+02,-2.057406622567581176e-15,2.000000000000000000e+00,-1.224646799147353207e-16,2.449293598294706414e-16
3.200015330948635750e+01,1.199999999999999858e+02,-2.081899558550528679e-15,2.000000000000000000e+00,-1.224646799147353207e-16,2.449293598294706414e-16
3.200015511312734873e+01,1.199999999999999858e+02,-2.106392494533476182e-15,2.000000000000000000e+00,-1.224646799147353207e-16,2.449293598294706414e-16
3.200015691676833995e+01,1.199999999999999858e+02,-2.130885430516423685e-15,2.000000000000000000e+00,-1.224646799147353207e-16,2.449293598294706414e-16
3.200015872040933118e+01,1.199999999999999858e+02,-2.155378366499371187e-15,2.000000000000000000e+00,-1.224646799147353207e-16,2.449293598294706414e-16
3.200016052405032241e+01,1.199999999999999858e+02,-2.179871302482318690e-15,2.000000000000000000e+00,-1.224646799147353207e-16,2.449293598294706414e-16
3.200016232769131364e+01,1.199999999999999858e+02,-2.204364238465266193e-15,2.000000000000000000e+00,-1.224646799147353207e-16,2.449293598294706414e-16
