ref_gyro_x (deg/s),ref_gyro_y (deg/s),ref_gyro_z (deg/s)
-1.009324887300849007e-04,3.542235719793049298e-03,-5.791764666058591082e+00
-1.045144942148743428e-04,3.542149985920243094e-03,-5.812366757630326397e+00
-1.081091474140475939e-04,3.542060305660692590e-03,-5.830908638869848559e+00
-1.117151700569281038e-04,3.541966674046728714e-03,-5.847596330810421961e+00
-1.153314112875164249e-04,3.541869087681285850e-03,-5.862615252381987219e+00
-1.189568349246435325e-04,3.541767544488030536e-03,-5.876132280621486181e+00
-1.225905079958593030e-04,3.541662043493416876e-03,-5.888297604862176904e+00
-1.262315904177230990e-04,3.541552584637174070e-03,-5.899246395503986662e+00
-1.298793257078707840e-04,3.541439168608140429e-03,-5.909100305906850537e+00
-1.335330326257114014e-04,3.541321796702552507e-03,-5.917968824094715252e+00
-1.371920976489083926e-04,3.541200470702182950e-03,-5.925950489289133039e+00
-1.408559682020910162e-04,3.541075192769973026e-03,-5.933133986789501435e+00
-1.445241465625877097e-04,3.540945965361052584e-03,-5.939599133365279116e+00
-1.481961843754888504e-04,3.540812791147222340e-03,-5.945417764108979597e+00
-1.518716777171330199e-04,3.540675672953220998e-03,-5.950654530603869397e+00
-1.555502626521727838e-04,3.540534613703241133e-03,-5.955367619274889002e+00
-1.592316112348818216e-04,3.540389616376378879e-03,-5.959609397904480410e+00
-1.629154279102809611e-04,3.540240683969774534e-03,-5.963426997496849680e+00
-1.666014462751176629e-04,3.540087819468456555e-03,-5.966862835955782707e+00
-1.702894261627140948e-04,3.539931025820908846e-03,-5.969955089394684222e+00
-1.739791510193040998e-04,3.539770305919551219e-03,-5.972738116315622570e+00
-1.776704255427166224e-04,3.539605662585449970e-03,-5.975242839370459969e+00
-1.813630735571759801e-04,3.539437098556594188e-03,-5.977497088945871617e+00
-1.850569361006066554e-04,3.539264616479202621e-03,-5.979525912389871856e+00
-1.887518697032024360e-04,3.539088218901600535e-03,-5.981351852315669682e+00
-1.924477448381295376e-04,3.538907908270228549e-03,-5.982995197075156923e+00
-1.961444445271546806e-04,3.538723686927430431e-03,-5.984474206185036671e+00
-1.998418630857116236e-04,3.538535557110732751e-03,-5.985805313210342149e+00
-2.035399049934563990e-04,3.538343520953314992e-03,-5.987003308359607701e+00
-2.072384838777668718e-04,3.538147580485455444e-03,-5.988081502820511659e+00
-2.109375215988999665e-04,3.537947737636772897e-03,-5.989051876661967810e+00
-2.146369474266268803e-04,3.537743994239062485e-03,-5.989925211945999806e+00
-2.183366972992154301e-04,3.537536352029621144e-03,-5.990711212528430529e+00
-2.220367131565110586e-04,3.537324812654898346e-03,-5.991418611879501199e+00
-2.257369423397207766e-04,3.537109377674424373e-03,-5.992055270122428112e+00
-2.294373370512145537e-04,3.536890048564870440e-03,-5.992628261368112774e+00
-2.331378538683576802e-04,3.536666826724229381e-03,-5.993143952316363432e+00
-2.368384533059597564e-04,3.536439713476010206e-03,-5.993608072997008485e+00
-2.405390994224869622e-04,3.536208710073432231e-03,-5.994025780436896156e+00
-2.442397594656545265e-04,3.535973817703552853e-03,-5.994401715960193222e+00
-2.479404035534652092e-04,3.535735037491326369e-03,-5.994740056758647739e+00
-2.516410043871483986e-04,3.535492370503545267e-03,-5.995044562304834734e+00
-2.553415369928106445e-04,3.535245817752658351e-03,-5.995318616124073685e+00
-2.590419784889223223e-04,3.534995380200448359e-03,-5.995565263389155852e+00
-2.627423078770627649e-04,3.534741058761556916e-03,-5.995787244755589995e+00
-2.664425058535930982e-04,3.534482854306861613e-03,-5.995987026813336840e+00
-2.701425546401653552e-04,3.534220767666675263e-03,-5.996166829493364325e+00
-2.738424378311836872e-04,3.533954799633800756e-03,-5.996328650733544485e+00
-2.775421402565256116e-04,3.533684950966412431e-03,-5.996474288677959841e+00
-2.812416478579913203e-04,3.533411222390787833e-03,-5.996605361656291322e+00
-2.849409475781127291e-04,3.533133614603869467e-03,-5.996723326165247947e+00
-2.886400272600814004e-04,3.532852128275682131e-03,-5.996829493051873072e+00
-2.923388755576928678e-04,3.532566764051610613e-03,-5.996925042078506074e+00
-2.960374818542937958e-04,3.532277522554514750e-03,-5.997011035031251325e+00
-2.997358361898366948e-04,3.531984404386728262e-03,-5.997088427517605957e+00
-3.034339291952346785e-04,3.531687410131913174e-03,-5.997158079584320234e+00
-3.071317520332825820e-04,3.531386540356794973e-03,-5.997220765273467258e+00
-3.108292963454846523e-04,3.531081795612783705e-03,-5.997277181222915310e+00
-3.145265542042063748e-04,3.530773176437482317e-03,-5.997327954406748596e+00
-3.182235180696074152e-04,3.530460683356072271e-03,-5.997373649101644055e+00
-3.219201807508879519e-04,3.530144316882631497e-03,-5.997414773156609868e+00
-3.256165353714113547e-04,3.529824077521332218e-03,-5.997451783635756151e+00
-3.293125753373118167e-04,3.529499965767560286e-03,-5.997485091896784581e+00
-3.330082943092483390e-04,3.529171982108952541e-03,-5.997515068161624718e+00
-3.367036861769821419e-04,3.528840127026357416e-03,-5.997542045630017249e+00
-3.403987450364964209e-04,3.528504400994722685e-03,-5.997566324181731190e+00
-3.440934651694089737e-04,3.528164804483915982e-03,-5.997588173708553683e+00
-3.477878410244405289e-04,3.527821337959473769e-03,-5.997607837113102747e+00
-3.514818672007412347e-04,3.527474001883318649e-03,-5.997625533007729715e+00
-3.551755384328837825e-04,3.527122796714384726e-03,-5.997641458143553983e+00
-3.588688495773579342e-04,3.526767722909225633e-03,-5.997655789596586295e+00
-3.625617956004169957e-04,3.526408780922557495e-03,-5.997668686735234900e+00
-3.662543715671411982e-04,3.526045971207761136e-03,-5.997680292991067752e+00
-3.699465726315950397e-04,3.525679294217350882e-03,-5.997690737452502141e+00
-3.736383940279703296e-04,3.525308750403399576e-03,-5.997700136299109808e+00
-3.773298310626151879e-04,3.524934340217927582e-03,-5.997708594092508783e+00
-3.810208791068609639e-04,3.524556064113272720e-03,-5.997716204938154938e+00
-3.847115335905667882e-04,3.524173922542410756e-03,-5.997723053530964243e+00
-3.884017899963131278e-04,3.523787915959267648e-03,-5.997729216096356453e+00
-3.920916438541728415e-04,3.523398044818997973e-03,-5.997734761237215828e+00
-3.957810907370085617e-04,3.523004309578236896e-03,-5.997739750696133854e+00
-3.994701262562395895e-04,3.522606710695337390e-03,-5.997744240041451569e+00
-4.031587460580342850e-04,3.522205248630588380e-03,-5.997748279284670581e+00
-4.068469458198815491e-04,3.521799923846408165e-03,-5.997751913436144555e+00
-4.105347212475091417e-04,3.521390736807530029e-03,-5.997755183005200053e+00
-4.142220680721066597e-04,3.520977687981163146e-03,-5.997758124450220940e+00
-4.179089820478303009e-04,3.520560777837146525e-03,-5.997760770583763446e+00
-4.215954589495558001e-04,3.520140006848086062e-03,-5.997763150937124976e+00
-4.252814945708578015e-04,3.519715375489485508e-03,-5.997765292088474531e+00
-4.289670847221911643e-04,3.519286884239857058e-03,-5.997767217958166697e+00
-4.326522252292544675e-04,3.518854533580835844e-03,-5.997768950074521932e+00
-4.363369119315177176e-04,3.518418323997265368e-03,-5.997770507813029006e+00
-4.400211406808997847e-04,3.517978255977297682e-03,-5.997771908611630565e+00
-4.437049073405745334e-04,3.517534330012467118e-03,-5.997773168164473923e+00
-4.473882077839015279e-04,3.517086546597762708e-03,-5.997774300596295127e+00
-4.510710378934619058e-04,3.516634906231709285e-03,-5.997775318619357421e+00
-4.547533935601903656e-04,3.516179409416409114e-03,-5.997776233674699142e+00
-4.584352706825939447e-04,3.515720056657613019e-03,-5.997777056059252487e+00
-4.621166651660541186e-04,3.515256848464768085e-03,-5.997777795040263982e+00
-4.657975729221945486e-04,3.514789785351061461e-03,-5.997778458958253012e+00
-4.694779898683117667e-04,3.514318867833464161e-03,-5.997779055319687025e+00
-4.731579119268682575e-04,3.513844096432771399e-03,-5.997779590880392142e+00
-4.768373350250331355e-04,3.513365471673639880e-03,-5.997780071720611339e+00
-4.805162550942685762e-04,3.512882994084612961e-03,-5.997780503312561073e+00
-4.841946680699608084e-04,3.512396664198157506e-03,-5.997780890581243973e+00
-4.878725698910873717e-04,3.511906482550686444e-03,-5.997781237959156186e+00
-4.915499564999159261e-04,3.511412449682583051e-03,-5.997781549435552861e+00
-4.952268238417385131e-04,3.510914566138225671e-03,-5.997781828600760257e+00
