ref_vel_x (m/s),ref_vel_y (m/s),ref_vel_z (m/s)
2.000000000000000000e+00,-1.224646799147353207e-16,2.449293598294706414e-16
1.999999989033772962e+00,2.094395098563016941e-04,2.449293598294706414e-16
1.999999907774030694e+00,6.073745703578793502e-04,2.449293598294706414e-16
1.999999654869813570e+00,1.174955584856732802e-03,2.449293598294706414e-16
1.999999102037128829e+00,1.895217844515913186e-03,2.449293598294706414e-16
1.999998105394138914e+00,2.752892997261446005e-03,2.449293598294706414e-16
1.999996513861040492e+00,3.734239371637433375e-03,2.449293598294706414e-16
1.999994175276504693e+00,4.826889272973903036e-03,2.449293598294706414e-16
1.999990940747678581e+00,6.019711555859298333e-03,2.449293598294706414e-16
1.999986667642754679e+00,7.302687945504259502e-03,2.449293598294706414e-16
1.999981221548773780e+00,8.666801732738276323e-03,2.449293598294706414e-16
1.999974477448370314e+00,1.010393760462470654e-02,2.449293598294706414e-16
1.999966320314209733e+00,1.160679149635100542e-02,2.449293598294706414e-16
1.999956645276121714e+00,1.316878946148854028e-02,2.449293598294706414e-16
1.999945357481196506e+00,1.478401465804606886e-02,2.449293598294706414e-16
1.999932371739588710e+00,1.644714163808819185e-02,2.449293598294706414e-16
1.999917612027023228e+00,1.815337721000239227e-02,2.449293598294706414e-16
1.999901010897859210e+00,1.989840721568315526e-02,2.449293598294706414e-16
1.999882508849118112e+00,2.167834863076145355e-02,2.449293598294706414e-16
1.999862053665363515e+00,2.348970645527810597e-02,2.449293598294706414e-16
1.999839599766125575e+00,2.532933491551866631e-02,2.449293598294706414e-16
1.999815107571242701e+00,2.719440254571797722e-02,2.449293598294706414e-16
1.999788542894607390e+00,2.908236076151963709e-02,2.449293598294706414e-16
1.999759876373102596e+00,3.099091557591751242e-02,2.449293598294706414e-16
1.999729082934708080e+00,3.291800214337470970e-02,2.449293598294706414e-16
1.999696141307665265e+00,3.486176184925848798e-02,2.449293598294706414e-16
1.999661033571058288e+00,3.682052169004115805e-02,2.449293598294706414e-16
1.999623744746073850e+00,3.879277571518374712e-02,2.449293598294706414e-16
1.999584262426425729e+00,4.077716832453424922e-02,2.449293598294706414e-16
1.999542576445930919e+00,4.277247923570131477e-02,2.449293598294706414e-16
1.999498678580901023e+00,4.477760995442071207e-02,2.449293598294706414e-16
1.999452562284842916e+00,4.679157159763033813e-02,2.449293598294706414e-16
1.999404222452902280e+00,4.881347393400344015e-02,2.449293598294706414e-16
1.999353655213498282e+00,5.084251552021709641e-02,2.449293598294706414e-16
1.999300857744670701e+00,5.287797482339785804e-02,2.449293598294706414e-16
1.999245828112764745e+00,5.491920223114916955e-02,2.449293598294706414e-16
1.999188565131222672e+00,5.696561286042141348e-02,2.449293598294706414e-16
1.999129068237391893e+00,5.901668008535375376e-02,2.449293598294706414e-16
1.999067337385418419e+00,6.107192971221369476e-02,2.449293598294706414e-16
1.999003372953449098e+00,6.313093473673278555e-02,2.449293598294706414e-16
1.998937175663525467e+00,6.519331062561604939e-02,2.449293598294706414e-16
1.998868746512693528e+00,6.725871106981808067e-02,2.449293598294706414e-16
1.998798086714001387e+00,6.932682416242273715e-02,2.449293598294706414e-16
1.998725197646184393e+00,7.139736895867432320e-02,2.449293598294706414e-16
1.998650080810966179e+00,7.347009237995064113e-02,2.449293598294706414e-16
1.998572737797012167e+00,7.554476642729886227e-02,2.449293598294706414e-16
1.998493170249682871e+00,7.762118567357746690e-02,2.449293598294706414e-16
1.998411379845823843e+00,7.969916500635397527e-02,2.449293598294706414e-16
1.998327368272921456e+00,8.177853759648498477e-02,2.449293598294706414e-16
1.998241137212026564e+00,8.385915306981832351e-02,2.449293598294706414e-16
1.998152688323923565e+00,8.594087586170652548e-02,2.449293598294706414e-16
1.998062023238083018e+00,8.802358373605387309e-02,2.449293598294706414e-16
1.997969143543991466e+00,9.010716645244729039e-02,2.449293598294706414e-16
1.997874050784506306e+00,9.219152456656601324e-02,2.449293598294706414e-16
1.997776746450925511e+00,9.427656835054130935e-02,2.449293598294706414e-16
1.997677231979503087e+00,9.636221682127744936e-02,2.449293598294706414e-16
1.997575508749175555e+00,9.844839686593510886e-02,2.449293598294706414e-16
1.997471578080298737e+00,1.005350424548640542e-01,2.449293598294706414e-16
1.997365441234216554e+00,1.026220939332429666e-01,2.449293598294706414e-16
1.997257099413514148e+00,1.047094973835527992e-01,2.449293598294706414e-16
1.997146553762822352e+00,1.067972040518026106e-01,2.449293598294706414e-16
1.997033805370065362e+00,1.088851698311370797e-01,2.449293598294706414e-16
1.996918855268055459e+00,1.109733547970797596e-01,2.449293598294706414e-16
1.996801704436353075e+00,1.130617227892578430e-01,2.449293598294706414e-16
1.996682353803326482e+00,1.151502410349530131e-01,2.449293598294706414e-16
1.996560804248351806e+00,1.172388798103029817e-01,2.449293598294706414e-16
1.996437056604106530e+00,1.193276121353808450e-01,2.449293598294706414e-16
1.996311111658914728e+00,1.214164134997725714e-01,2.449293598294706414e-16
1.996182970159114278e+00,1.235052616155968147e-01,2.449293598294706414e-16
1.996052632811413208e+00,1.255941361952271906e-01,2.449293598294706414e-16
1.995920100285221821e+00,1.276830187512432158e-01,2.449293598294706414e-16
1.995785373214932878e+00,1.297718924163890064e-01,2.449293598294706414e-16
1.995648452202146261e+00,1.318607417815389760e-01,2.449293598294706414e-16
1.995509337817818807e+00,1.339495527498691940e-01,2.449293598294706414e-16
1.995368030604337539e+00,1.360383124056133985e-01,2.449293598294706414e-16
1.995224531077507413e+00,1.381270088959462572e-01,2.449293598294706414e-16
1.995078839728450681e+00,1.402156313246802899e-01,2.449293598294706414e-16
1.994930957025417229e+00,1.423041696565950642e-01,2.449293598294706414e-16
1.994780883415500972e+00,1.443926146313348757e-01,2.449293598294706414e-16
1.994628619326268337e+00,1.464809576859200380e-01,2.449293598294706414e-16
1.994474165167293922e+00,1.485691908850078624e-01,2.449293598294706414e-16
1.994317521331609777e+00,1.506573068581291142e-01,2.449293598294706414e-16
1.994158688197067653e+00,1.527452987432019182e-01,2.449293598294706414e-16
1.993997666127619528e+00,1.548331601356981446e-01,2.449293598294706414e-16
1.993834455474514877e+00,1.569208850428926716e-01,2.449293598294706414e-16
1.993669056577425325e+00,1.590084678426884612e-01,2.449293598294706414e-16
1.993501469765491363e+00,1.610959032465624774e-01,2.449293598294706414e-16
1.993331695358302680e+00,1.631831862662179167e-01,2.449293598294706414e-16
1.993159733666808986e+00,1.652703121835704392e-01,2.449293598294706414e-16
1.992985584994170667e+00,1.673572765237395787e-01,2.449293598294706414e-16
1.992809249636546820e+00,1.694440750307396326e-01,2.449293598294706414e-16
1.992630727883830444e+00,1.715307036456040490e-01,2.449293598294706414e-16
1.992450020020327672e+00,1.736171584866989248e-01,2.449293598294706414e-16
1.992267126325390381e+00,1.757034358320031242e-01,2.449293598294706414e-16
1.992082047073999940e+00,1.777895321031644493e-01,2.449293598294706414e-16
1.991894782537308561e+00,1.798754438511497578e-01,2.449293598294706414e-16
1.991705332983140897e+00,1.819611677433295993e-01,2.449293598294706414e-16
1.991513698676455224e+00,1.840467005518577059e-01,2.449293598294706414e-16
1.991319879879772214e+00,1.861320391432107479e-01,2.449293598294706414e-16
1.991123876853568397e+00,1.882171804687762517e-01,2.449293598294706414e-16
1.990925689856640535e+00,1.903021215563822921e-01,2.449293598294706414e-16
1.990725319146440686e+00,1.923868595026738681e-01,2.449293598294706414e-16
