q0 (),q1,q2,q3
4.329780281177467045e-17,7.071067811865475727e-01,7.071067811865474617e-01,4.329780281177465813e-17
4.329440207675610014e-17,7.070512429689825851e-01,7.071623150423222981e-01,4.330120327971060705e-17
4.328793994448335714e-17,7.069457083401043951e-01,7.072678173503358368e-01,4.330766343290118430e-17
4.327872123525959158e-17,7.067951553932435571e-01,7.074182697051587532e-01,4.331687598263908545e-17
4.326701983661631744e-17,7.066040570512330810e-01,7.076091481593053123e-01,4.332856391703392528e-17
4.325308190221292174e-17,7.063764333084020519e-01,7.078363754897741833e-01,4.334247757818079621e-17
4.323712870888818757e-17,7.061158978897680294e-01,7.080962778798703949e-01,4.335839200968690339e-17
4.321935921038599843e-17,7.058256999565425405e-01,7.083855456464768219e-01,4.337610455191045259e-17
4.319995232159145242e-17,7.055087614105379767e-01,7.087011976658206258e-01,4.339543266366714421e-17
4.317906896305432792e-17,7.051677102837695665e-01,7.090405491741256228e-01,4.341621195058872235e-17
4.315685389205050459e-17,7.048049106419579379e-01,7.094011826427847334e-01,4.343829438174166274e-17
4.313343734336327463e-17,7.044224893805209886e-01,7.097809214503794095e-01,4.346154667750330466e-17
4.310893650028861692e-17,7.040223602479137588e-01,7.101778060957387728e-01,4.348584885303181072e-17
4.308345681402784559e-17,7.036062453929446958e-01,7.105900727170646469e-01,4.351109290294190829e-17
4.305709318757973467e-17,7.031756946992023805e-01,7.110161337018268135e-01,4.353718161400343732e-17
4.302993103844371990e-17,7.027321031403149787e-01,7.114545601905927219e-01,4.356402749380986538e-17
4.300204725286174557e-17,7.022767263639025925e-01,7.119040662951717779e-01,4.359155180441836011e-17
4.297351104293050939e-17,7.018106946892824771e-01,7.123634948674354428e-01,4.361968369094133870e-17
4.294438471668365086e-17,7.013350256838658536e-01,7.128318046699454458e-01,4.364835939597399719e-17
4.291472437015390150e-17,7.008506354653897263e-01,7.133080588131325284e-01,4.367752155157573518e-17
4.288458050946017877e-17,7.003583488613711605e-01,7.137914143362709130e-01,4.370711854128881501e-17
4.285399861010900651e-17,6.998589085431918821e-01,7.142811128209481941e-01,4.373710392537918109e-17
4.282301961993967525e-17,6.993529832398162061e-01,7.147764719362056374e-01,4.376743592312561071e-17
4.279168041146659474e-17,6.988411751251026871e-01,7.152768778240812253e-01,4.379807694656867756e-17
4.276001418877128366e-17,6.983240264628539640e-01,7.157817782429972686e-01,4.382899318066435937e-17
4.272805085355983741e-17,6.978020255849893827e-01,7.162906763943572841e-01,4.386015420527211038e-17
4.269581733452405954e-17,6.972756122704203419e-01,7.168031253649153056e-01,4.389153265484812457e-17
4.266333788371723722e-17,6.967451825852337688e-01,7.173187231240163442e-01,4.392310391211465331e-17
4.263063434327430570e-17,6.962110932385633388e-01,7.178371080207295307e-01,4.395484583233896255e-17
4.259772638546494581e-17,6.956736655029538419e-01,7.183579547312637370e-01,4.398673849518406965e-17
4.256463172876304811e-17,6.951331887430433065e-01,7.188809706119146936e-01,4.401876398139118818e-17
4.253136633234256311e-17,6.945899235919215098e-01,7.194058924171865543e-01,4.405090617182263239e-17
4.249794457116510519e-17,6.940441048105270294e-01,7.199324833467053431e-01,4.408315056663739489e-17
4.246437939360490638e-17,6.934959438618589767e-01,7.204605303881326250e-01,4.411548412259154930e-17
4.243068246336038183e-17,6.929456312285676711e-01,7.209898419265293734e-01,4.414789510665401596e-17
4.239686428722443312e-17,6.923933384996030505e-01,7.215202455935482151e-01,4.418037296430755267e-17
4.236293433012758384e-17,6.918392202490106779e-01,7.220515863324731276e-01,4.421290820106659841e-17
4.232890111872549915e-17,6.912834157276454006e-01,7.225837246575094186e-01,4.424549227588956785e-17
4.229477233467473735e-17,6.907260503864788292e-01,7.231165350878761000e-01,4.427811750529460799e-17
4.226055489862570405e-17,6.901672372483094176e-01,7.236499047391878880e-01,4.431077697710667456e-17
4.222625504585875281e-17,6.896070781429930463e-01,7.241837320563641045e-01,4.434346447287054134e-17
4.219187839439643875e-17,6.890456648198005629e-01,7.247179256738714992e-01,4.437617439806080592e-17
4.215743000634162618e-17,6.884830799491457043e-01,7.252524033905287659e-01,4.440890171930680401e-17
