ref_Yaw (deg),ref_Pitch (deg),ref_Roll (deg)
1.003500017161537414e+02,0.000000000000000000e+00,1.800000000000000000e+02
1.004400015445383616e+02,0.000000000000000000e+00,1.800000000000000000e+02
1.005300013900845357e+02,0.000000000000000000e+00,1.800000000000000000e+02
1.006200012510760757e+02,0.000000000000000000e+00,1.800000000000000000e+02
1.007100011259684749e+02,0.000000000000000000e+00,1.800000000000000000e+02
1.008000010133716273e+02,0.000000000000000000e+00,1.800000000000000000e+02
1.008900009120344663e+02,0.000000000000000000e+00,1.800000000000000000e+02
1.009800008208310231e+02,0.000000000000000000e+00,1.800000000000000000e+02
1.010700007387479360e+02,0.000000000000000000e+00,1.800000000000000000e+02
1.011600006648731380e+02,0.000000000000000000e+00,1.800000000000000000e+02
1.012500005983858244e+02,0.000000000000000000e+00,1.800000000000000000e+02
1.013400005385472440e+02,0.000000000000000000e+00,1.800000000000000000e+02
1.014300004846925276e+02,0.000000000000000000e+00,1.800000000000000000e+02
1.015200004362232704e+02,0.000000000000000000e+00,1.800000000000000000e+02
1.016100003926009379e+02,0.000000000000000000e+00,1.800000000000000000e+02
1.017000003533408403e+02,0.000000000000000000e+00,1.800000000000000000e+02
1.017900003180067614e+02,0.000000000000000000e+00,1.800000000000000000e+02
1.018800002862060836e+02,0.000000000000000000e+00,1.800000000000000000e+02
1.019700002575854683e+02,0.000000000000000000e+00,1.800000000000000000e+02
1.020600002318269333e+02,0.000000000000000000e+00,1.800000000000000000e+02
1.021500002086442436e+02,0.000000000000000000e+00,1.800000000000000000e+02
1.022400001877798275e+02,0.000000000000000000e+00,1.800000000000000000e+02
1.023300001690018490e+02,0.000000000000000000e+00,1.800000000000000000e+02
1.024200001521016645e+02,0.000000000000000000e+00,1.800000000000000000e+02
1.025100001368914917e+02,0.000000000000000000e+00,1.800000000000000000e+02
1.026000001232023351e+02,0.000000000000000000e+00,1.800000000000000000e+02
1.026900001108821101e+02,0.000000000000000000e+00,1.800000000000000000e+02
1.027800000997939094e+02,0.000000000000000000e+00,1.800000000000000000e+02
1.028700000898145106e+02,0.000000000000000000e+00,1.800000000000000000e+02
1.029600000808330691e+02,0.000000000000000000e+00,1.800000000000000000e+02
1.030500000727497536e+02,0.000000000000000000e+00,1.800000000000000000e+02
1.031400000654747799e+02,0.000000000000000000e+00,1.800000000000000000e+02
1.032300000589273026e+02,0.000000000000000000e+00,1.800000000000000000e+02
1.033200000530345619e+02,0.000000000000000000e+00,1.800000000000000000e+02
1.034100000477311170e+02,0.000000000000000000e+00,1.800000000000000000e+02
1.035000000429579927e+02,0.000000000000000000e+00,1.800000000000000000e+02
1.035900000386621969e+02,0.000000000000000000e+00,1.800000000000000000e+02
1.036800000347959667e+02,0.000000000000000000e+00,1.800000000000000000e+02
1.037700000313163713e+02,0.000000000000000000e+00,1.800000000000000000e+02
1.038600000281847286e+02,0.000000000000000000e+00,1.800000000000000000e+02
1.039500000253662506e+02,0.000000000000000000e+00,1.800000000000000000e+02
1.040400000228296307e+02,0.000000000000000000e+00,1.800000000000000000e+02
1.041300000205466603e+02,0.000000000000000000e+00,1.800000000000000000e+02
1.042200000184919872e+02,0.000000000000000000e+00,1.800000000000000000e+02
1.043100000166427890e+02,0.000000000000000000e+00,1.800000000000000000e+02
1.044000000149785166e+02,0.000000000000000000e+00,1.800000000000000000e+02
1.044900000134806533e+02,0.000000000000000000e+00,1.800000000000000000e+02
1.045800000121325866e+02,0.000000000000000000e+00,1.800000000000000000e+02
1.046700000109193240e+02,0.000000000000000000e+00,1.800000000000000000e+02
1.047600000098273938e+02,0.000000000000000000e+00,1.800000000000000000e+02
1.048500000088446455e+02,0.000000000000000000e+00,1.800000000000000000e+02
1.049400000079601796e+02,0.000000000000000000e+00,1.800000000000000000e+02
1.050300000071641477e+02,0.000000000000000000e+00,1.800000000000000000e+02
