gyro_x (deg/s),gyro_y (deg/s),gyro_z (deg/s)
-1.531272796297735730e-04,3.540628041881189580e-03,-8.747469979531459217e+00
-1.585340359515057668e-04,3.540417475523104963e-03,-8.772501517455099318e+00
-1.639559307094109867e-04,3.540198014886569884e-03,-8.795029899825824060e+00
-1.693914017575792904e-04,3.539969655588187918e-03,-8.815305442199077746e+00
-1.748390417840360405e-04,3.539732395739917693e-03,-8.833553428574761668e+00
-1.802975828313350048e-04,3.539486235522456246e-03,-8.849976614552801379e+00
-1.857658823644504746e-04,3.539231176815631034e-03,-8.864757480173123483e+00
-1.912429107313242272e-04,3.538967222879353062e-03,-8.878060257471670269e+00
-1.967277398768739894e-04,3.538694378079254750e-03,-8.890032755280792287e+00
-2.022195331851818067e-04,3.538412647651702127e-03,-8.900808001549611603e+00
-2.077175363371040458e-04,3.538122037503445543e-03,-8.910505721432343762e+00
-2.132210690818127092e-04,3.537822554041581205e-03,-8.919233667567782575e+00
-2.187295178309183353e-04,3.537514204030031435e-03,-8.927088817330853132e+00
-2.242423289929633098e-04,3.537196994469124500e-03,-8.934158450358980375e+00
-2.297590029742769462e-04,3.536870932495235226e-03,-8.940521118325868599e+00
-2.352790887795916104e-04,3.536536025297822711e-03,-8.946247517737839772e+00
-2.408021791524686604e-04,3.536192280051463424e-03,-8.951401275450599826e+00
-2.463279062015752202e-04,3.535839703860834890e-03,-8.956039655634278063e+00
-2.518559374642539506e-04,3.535478303716761694e-03,-8.960214196042006307e+00
-2.573859723636624103e-04,3.535108086461737423e-03,-8.963971280651596985e+00
-2.629177390201511088e-04,3.534729058763519133e-03,-8.967352655043089982e+00
-2.684509913814609665e-04,3.534341227095549268e-03,-8.970395890238528125e+00
-2.739855066398727687e-04,3.533944597723112993e-03,-8.973134800157751556e+00
-2.795210829076221425e-04,3.533539176694357100e-03,-8.975599817328619778e+00
-2.850575371247596190e-04,3.533124969835289234e-03,-8.977818331026213627e+00
-2.905947031762185092e-04,3.532701982748115595e-03,-8.979814991598106033e+00
-2.961324301971759543e-04,3.532270220812295646e-03,-8.981611984357122935e+00
-3.016705810478811185e-04,3.531829689187790389e-03,-8.983229276084804482e+00
-3.072090309410057990e-04,3.531380392820066168e-03,-8.984684836884548886e+00
-3.127476662062719445e-04,3.530922336446488865e-03,-8.985994839849411164e+00
-3.182863831786242824e-04,3.530455524603769765e-03,-8.987173840763153621e+00
-3.238250871976043046e-04,3.529979961636206358e-03,-8.988234939831157178e+00
