gps_lat (deg),gps_lon (deg),gps_alt (m),gps_vN (m/s),gps_vE (m/s),gps_vD (m/s)
3.200000000000000000e+01,1.199999999999999858e+02,0.000000000000000000e+00,6.000000000000000000e+00,-3.673940397442059375e-16,7.347880794884118750e-16
3.200000541083802830e+01,1.200000000271668625e+02,-7.347880794884116531e-17,5.999492988164217167e+00,7.799926261445425113e-02,7.347880794884118750e-16
3.200001082010447107e+01,1.200000001776354992e+02,-1.469576158976823799e-16,5.995669656781241308e+00,2.279152622197806455e-01,7.347880794884118750e-16
3.200001622382171007e+01,1.200000005008958226e+02,-2.204364238465236562e-16,5.986468845123323668e+00,4.027291476511513091e-01,7.347880794884118750e-16
3.200002161684312085e+01,1.200000010139488182e+02,-2.939152317953647106e-16,5.971324072033764807e+00,5.859085481114775229e-01,7.347880794884118750e-16
3.200002699377095894e+01,1.200000017223275819e+02,-3.673940397442057403e-16,5.950183991921460525e+00,7.715636475894822599e-01,7.347880794884118750e-16
3.200003234921877748e+01,1.200000026274370839e+02,-4.408728476930467700e-16,5.923103440694304389e+00,9.575205641840224269e-01,7.347880794884118750e-16
3.200003767785415221e+01,1.200000037291164148e+02,-5.143516556418882928e-16,5.890142124434362358e+00,1.142902337894123876e+00,7.347880794884118750e-16
3.200004297439510026e+01,1.200000050265329605e+02,-5.878304635907298155e-16,5.851351580636082517e+00,1.327284701858507665e+00,7.347880794884118750e-16
3.200004823360411166e+01,1.200000065184947715e+02,-6.613092715395713383e-16,5.806779348786944794e+00,1.510401799026162895e+00,7.347880794884118750e-16
3.200005345028650083e+01,1.200000082035601991e+02,-7.347880794884128611e-16,5.756473560391086153e+00,1.692043778546633792e+00,7.347880794884118750e-16
3.200005861929219009e+01,1.200000100800769047e+02,-8.082668874372543838e-16,5.700485624398173634e+00,1.872021272857166352e+00,7.347880794884118750e-16
3.200006373551924099e+01,1.200000121461967240e+02,-8.817456953860959066e-16,5.638871519329157422e+00,2.050153162204834345e+00,7.347880794884118750e-16
3.200006879391826686e+01,1.200000143998819198e+02,-9.552245033349364433e-16,5.571692341970796214e+00,2.226262438802753429e+00,7.347880794884118750e-16
3.200007378949712944e+01,1.200000168389088628e+02,-1.028703311283776980e-15,5.499014504798174663e+00,2.400174884465565039e+00,7.347880794884118750e-16
3.200007871732575637e+01,1.200000194608706607e+02,-1.102182119232617517e-15,5.420909776644331934e+00,2.571718723632484771e+00,7.347880794884118750e-16
3.200008357254093738e+01,1.200000222631798579e+02,-1.175660927181458053e-15,5.337455254571242591e+00,2.740724613209037930e+00,7.347880794884118750e-16
3.200008835035118437e+01,1.200000252430709224e+02,-1.249139735130298590e-15,5.248733304632777319e+00,2.907025747536248428e+00,7.347880794884118750e-16
3.200009304604134286e+01,1.200000283976031028e+02,-1.322618543079139127e-15,5.154831487141851909e+00,3.070458001531843006e+00,7.347880794884118750e-16
