ref_Yaw (deg),ref_Pitch (deg),ref_Roll (deg)
9.000000000000000000e+01,0.000000000000000000e+00,1.800000000000000000e+02
9.001800000000000068e+01,0.000000000000000000e+00,1.800000000000000000e+02
9.005219999999999914e+01,0.000000000000000000e+00,1.800000000000000000e+02
9.010098000000000695e+01,0.000000000000000000e+00,1.800000000000000000e+02
9.016288199999999620e+01,0.000000000000000000e+00,1.800000000000000000e+02
9.023659379999999430e+01,0.000000000000000000e+00,1.800000000000000000e+02
9.032093441999998618e+01,0.000000000000000000e+00,1.800000000000000000e+02
9.041484097800000086e+01,0.000000000000000000e+00,1.800000000000000000e+02
9.051735688019999770e+01,0.000000000000000000e+00,1.800000000000000000e+02
9.062762119218000123e+01,0.000000000000000000e+00,1.800000000000000000e+02
9.074485907296200082e+01,0.000000000000000000e+00,1.800000000000000000e+02
9.086837316566580114e+01,0.000000000000000000e+00,1.800000000000000000e+02
9.099753584909920789e+01,0.000000000000000000e+00,1.800000000000000000e+02
9.113178226418929739e+01,0.000000000000000000e+00,1.800000000000000000e+02
9.127060403777036868e+01,0.000000000000000000e+00,1.800000000000000000e+02
9.141354363399332783e+01,0.000000000000000000e+00,1.800000000000000000e+02
9.156018927059399459e+01,0.000000000000000000e+00,1.800000000000000000e+02
9.171017034353458541e+01,0.000000000000000000e+00,1.800000000000000000e+02
9.186315330918112920e+01,0.000000000000000000e+00,1.800000000000000000e+02
9.201883797826302214e+01,0.000000000000000000e+00,1.800000000000000000e+02
9.217695418043672362e+01,0.000000000000000000e+00,1.800000000000000000e+02
9.233725876239304853e+01,0.000000000000000000e+00,1.800000000000000000e+02
9.249953288615374447e+01,0.000000000000000000e+00,1.800000000000000000e+02
9.266357959753837292e+01,0.000000000000000000e+00,1.800000000000000000e+02
9.282922163778452784e+01,0.000000000000000000e+00,1.800000000000000000e+02
9.299629947400607932e+01,0.000000000000000000e+00,1.800000000000000000e+02
9.316466952660547918e+01,0.000000000000000000e+00,1.800000000000000000e+02
9.333420257394493547e+01,0.000000000000000000e+00,1.800000000000000000e+02
9.350478231655044681e+01,0.000000000000000000e+00,1.800000000000000000e+02
9.367630408489539207e+01,0.000000000000000000e+00,1.800000000000000000e+02
9.384867367640585201e+01,0.000000000000000000e+00,1.800000000000000000e+02
9.402180630876526379e+01,0.000000000000000000e+00,1.800000000000000000e+02
9.419562567788874219e+01,0.000000000000000000e+00,1.800000000000000000e+02
9.437006311009986348e+01,0.000000000000000000e+00,1.800000000000000000e+02
9.454505679908987759e+01,0.000000000000000000e+00,1.800000000000000000e+02
9.472055111918088244e+01,0.000000000000000000e+00,1.800000000000000000e+02
9.489649600726279743e+01,0.000000000000000000e+00,1.800000000000000000e+02
9.507284640653651309e+01,0.000000000000000000e+00,1.800000000000000000e+02
9.524956176588285928e+01,0.000000000000000000e+00,1.800000000000000000e+02
9.542660558929456727e+01,0.000000000000000000e+00,1.800000000000000000e+02
9.560394503036512504e+01,0.000000000000000000e+00,1.800000000000000000e+02
9.578155052732860497e+01,0.000000000000000000e+00,1.800000000000000000e+02
9.595939547459573760e+01,0.000000000000000000e+00,1.800000000000000000e+02
9.613745592713617327e+01,0.000000000000000000e+00,1.800000000000000000e+02
9.631571033442254759e+01,0.000000000000000000e+00,1.800000000000000000e+02
9.649413930098027947e+01,0.000000000000000000e+00,1.800000000000000000e+02
9.667272537088226159e+01,0.000000000000000000e+00,1.800000000000000000e+02
9.685145283379402770e+01,0.000000000000000000e+00,1.800000000000000000e+02
9.703030755041463351e+01,0.000000000000000000e+00,1.800000000000000000e+02
9.720927679537315669e+01,0.000000000000000000e+00,1.800000000000000000e+02
9.738834911583585097e+01,0.000000000000000000e+00,1.800000000000000000e+02
9.756751420425226229e+01,0.000000000000000000e+00,1.800000000000000000e+02
9.774676278382703742e+01,0.000000000000000000e+00,1.800000000000000000e+02
9.792608650544433146e+01,0.000000000000000000e+00,1.800000000000000000e+02
9.810547785489990247e+01,0.000000000000000000e+00,1.800000000000000000e+02
9.828493006940990995e+01,0.000000000000000000e+00,1.800000000000000000e+02
9.846443706246893157e+01,0.000000000000000000e+00,1.800000000000000000e+02
9.864399335622202614e+01,0.000000000000000000e+00,1.800000000000000000e+02
9.882359402059982756e+01,0.000000000000000000e+00,1.800000000000000000e+02
9.900323461853984952e+01,0.000000000000000000e+00,1.800000000000000000e+02
9.918291115668586144e+01,0.000000000000000000e+00,1.800000000000000000e+02
9.936262004101727996e+01,0.000000000000000000e+00,1.800000000000000000e+02
9.954235803691555873e+01,0.000000000000000000e+00,1.800000000000000000e+02
9.972212223322399893e+01,0.000000000000000000e+00,1.800000000000000000e+02
9.990191000990159864e+01,0.000000000000000000e+00,1.800000000000000000e+02
1.000817190089114490e+02,0.000000000000000000e+00,1.800000000000000000e+02
1.002615471080202951e+02,0.000000000000000000e+00,1.800000000000000000e+02
1.004413923972182658e+02,0.000000000000000000e+00,1.800000000000000000e+02
1.006212531574964402e+02,0.000000000000000000e+00,1.800000000000000000e+02
1.008011278417468048e+02,0.000000000000000000e+00,1.800000000000000000e+02
1.009810150575721224e+02,0.000000000000000000e+00,1.800000000000000000e+02
1.011609135518149003e+02,0.000000000000000000e+00,1.800000000000000000e+02
1.013408221966334111e+02,0.000000000000000000e+00,1.800000000000000000e+02
1.015207399769700629e+02,0.000000000000000000e+00,1.800000000000000000e+02
1.017006659792730545e+02,0.000000000000000000e+00,1.800000000000000000e+02
1.018805993813457604e+02,0.000000000000000000e+00,1.800000000000000000e+02
1.020605394432111837e+02,0.000000000000000000e+00,1.800000000000000000e+02
1.022404854988900667e+02,0.000000000000000000e+00,1.800000000000000000e+02
1.024204369490010578e+02,0.000000000000000000e+00,1.800000000000000000e+02
1.026003932541009505e+02,0.000000000000000000e+00,1.800000000000000000e+02
1.027803539286908574e+02,0.000000000000000000e+00,1.800000000000000000e+02
1.029603185358217701e+02,0.000000000000000000e+00,1.800000000000000000e+02
1.031402866822395907e+02,0.000000000000000000e+00,1.800000000000000000e+02
1.033202580140156357e+02,0.000000000000000000e+00,1.800000000000000000e+02
1.035002322126140797e+02,0.000000000000000000e+00,1.800000000000000000e+02
1.036802089913526714e+02,0.000000000000000000e+00,1.800000000000000000e+02
1.038601880922173990e+02,0.000000000000000000e+00,1.800000000000000000e+02
1.040401692829956630e+02,0.000000000000000000e+00,1.800000000000000000e+02
1.042201523546960971e+02,0.000000000000000000e+00,1.800000000000000000e+02
1.044001371192264855e+02,0.000000000000000000e+00,1.800000000000000000e+02
1.045801234073038444e+02,0.000000000000000000e+00,1.800000000000000000e+02
1.047601110665734581e+02,0.000000000000000000e+00,1.800000000000000000e+02
1.049400999599161111e+02,0.000000000000000000e+00,1.800000000000000000e+02
1.051200899639244994e+02,0.000000000000000000e+00,1.800000000000000000e+02
1.053000809675320539e+02,0.000000000000000000e+00,1.800000000000000000e+02
1.054800728707788409e+02,0.000000000000000000e+00,1.800000000000000000e+02
1.056600655837009555e+02,0.000000000000000000e+00,1.800000000000000000e+02
1.058400590253308593e+02,0.000000000000000000e+00,1.800000000000000000e+02
1.060200531227977763e+02,0.000000000000000000e+00,1.800000000000000000e+02
1.062000478105180008e+02,0.000000000000000000e+00,1.800000000000000000e+02
1.063800430294662078e+02,0.000000000000000000e+00,1.800000000000000000e+02
1.065600387265195934e+02,0.000000000000000000e+00,1.800000000000000000e+02
1.067400348538676411e+02,0.000000000000000000e+00,1.800000000000000000e+02
1.069200313684808776e+02,0.000000000000000000e+00,1.800000000000000000e+02
1.071000282316327912e+02,0.000000000000000000e+00,1.800000000000000000e+02
1.072800254084695126e+02,0.000000000000000000e+00,1.800000000000000000e+02
1.074600228676225697e+02,0.000000000000000000e+00,1.800000000000000000e+02
1.076400205808603090e+02,0.000000000000000000e+00,1.800000000000000000e+02
1.078200185227742764e+02,0.000000000000000000e+00,1.800000000000000000e+02
1.080000166704968478e+02,0.000000000000000000e+00,1.800000000000000000e+02
1.081800150034471670e+02,0.000000000000000000e+00,1.800000000000000000e+02
1.083600135031024649e+02,0.000000000000000000e+00,1.800000000000000000e+02
1.085400121527922153e+02,0.000000000000000000e+00,1.800000000000000000e+02
1.087200109375129955e+02,0.000000000000000000e+00,1.800000000000000000e+02
1.089000098437617083e+02,0.000000000000000000e+00,1.800000000000000000e+02
1.090800088593855435e+02,0.000000000000000000e+00,1.800000000000000000e+02
1.092600079734469887e+02,0.000000000000000000e+00,1.800000000000000000e+02
1.094400071761022843e+02,0.000000000000000000e+00,1.800000000000000000e+02
1.096200064584920568e+02,0.000000000000000000e+00,1.800000000000000000e+02
1.098000058126428513e+02,0.000000000000000000e+00,1.800000000000000000e+02
1.099800052313785699e+02,0.000000000000000000e+00,1.800000000000000000e+02
1.101600047082407201e+02,0.000000000000000000e+00,1.800000000000000000e+02
1.103400042374166503e+02,0.000000000000000000e+00,1.800000000000000000e+02
1.105200038136749896e+02,0.000000000000000000e+00,1.800000000000000000e+02
1.107000034323074829e+02,0.000000000000000000e+00,1.800000000000000000e+02
1.108800030890767374e+02,0.000000000000000000e+00,1.800000000000000000e+02
1.110600027801690715e+02,0.000000000000000000e+00,1.800000000000000000e+02
1.112400025021521657e+02,0.000000000000000000e+00,1.800000000000000000e+02
1.114200022519369497e+02,0.000000000000000000e+00,1.800000000000000000e+02
1.116000020267432546e+02,0.000000000000000000e+00,1.800000000000000000e+02
