accel_x (m/s^2),accel_y (m/s^2),accel_z (m/s^2)
4.181756676537042305e-01,-1.199522188058853732e-15,9.794813943415521251e+00
4.182305408499044086e-01,-1.199522188076677255e-15,9.794813429412545958e+00
4.182799266451166509e-01,-1.199522188094497229e-15,9.794812915464310876e+00
4.183243737794628547e-01,-1.199522188112312469e-15,9.794812401579847005e+00
4.183643761190528609e-01,-1.199522188130123371e-15,9.794811887767513880e+00
4.184003781433861535e-01,-1.199522188147929933e-15,9.794811374035061746e+00
4.184327798840123402e-01,-1.199522188165732158e-15,9.794810860389686624e+00
4.184619413693266843e-01,-1.199522188183529254e-15,9.794810346838087156e+00
4.184881866248849058e-01,-1.199522188201322406e-15,9.794809833386525000e+00
4.185118072736880301e-01,-1.199522188219110628e-15,9.794809320040849698e+00
4.185330657764368412e-01,-1.199522188236893722e-15,9.794808806806553747e+00
4.185521983477626384e-01,-1.199522188254671886e-15,9.794808293688808121e+00
4.185694175808340467e-01,-1.199522188272445514e-15,9.794807780692488919e+00
4.185849148095028283e-01,-1.199522188290213817e-15,9.794807267822205787e+00
4.185988622342362575e-01,-1.199522188307977189e-15,9.794806755082337446e+00
4.186114148354551090e-01,-1.199522188325735040e-15,9.794806242477040570e+00
4.186227120955385295e-01,-1.199522188343487566e-15,9.794805730010288869e+00
4.186328795486279897e-01,-1.199522188361234570e-15,9.794805217685874865e+00
4.186420301754510409e-01,-1.199522188378976643e-15,9.794804705507447196e+00
4.186502656586632565e-01,-1.199522188396712997e-15,9.794804193478498178e+00
4.186576775126546468e-01,-1.199522188414443829e-15,9.794803681602408219e+00
4.186643481003766154e-01,-1.199522188432168942e-15,9.794803169882433380e+00
4.186703515484859195e-01,-1.199522188449887941e-15,9.794802658321733801e+00
4.186757545709739459e-01,-1.199522188467601616e-15,9.794802146923377251e+00
4.186806172104330925e-01,-1.199522188485308979e-15,9.794801635690342678e+00
4.186849935051973337e-01,-1.199522188503010624e-15,9.794801124625541533e+00
4.186889320897670408e-01,-1.199522188520706351e-15,9.794800613731815986e+00
4.186924767351933308e-01,-1.199522188538395374e-15,9.794800103011938930e+00
