ref_gyro_x (deg/s),ref_gyro_y (deg/s),ref_gyro_z (deg/s)
-1.803641037695666798e-05,3.543207813446885412e-03,2.214041970068620843e-03
-1.805444678681970976e-05,3.543207806477197564e-03,2.214041981222453041e-03
-1.808871596601954764e-05,3.543207799500539597e-03,2.214041992387438644e-03
-1.813759463762053858e-05,3.543207792510639619e-03,2.214042003573616930e-03
-1.819962185238063401e-05,3.543207785501851538e-03,2.214042014790021905e-03
-1.827348275598202613e-05,3.543207778469094783e-03,2.214042026044785085e-03
-1.835799397953869570e-05,3.543207771407797489e-03,2.214042037345223968e-03
-1.845209049105324812e-05,3.543207764313841424e-03,2.214042048697924866e-03
-1.855481376172803503e-05,3.543207757183525122e-03,2.214042060108816629e-03
-1.866530111564519660e-05,3.543207750013513575e-03,2.214042071583232230e-03
-1.878277614447863020e-05,3.543207742800807882e-03,2.214042083125974253e-03
-1.890654008073488649e-05,3.543207735542706644e-03,2.214042094741363459e-03
-1.903596403366983092e-05,3.543207728236779947e-03,2.214042106433288665e-03
-1.917048200161376338e-05,3.543207720880841172e-03,2.214042118205250976e-03
-1.930958458306393006e-05,3.543207713472920975e-03,2.214042130060399783e-03
-1.945281331666786170e-05,3.543207706011248636e-03,2.214042142001570491e-03
-1.959975558720832340e-05,3.543207698494229077e-03,2.214042154031314880e-03
-1.975004004098980309e-05,3.543207690920427682e-03,2.214042166151929721e-03
-1.990333245968632940e-05,3.543207683288552949e-03,2.214042178365480638e-03
-2.005933204680452031e-05,3.543207675597442180e-03,2.214042190673828556e-03
-2.021776808550032622e-05,3.543207667846050204e-03,2.214042203078648349e-03
-2.037839693061408626e-05,3.543207660033433765e-03,2.214042215581445323e-03
-2.054099930150209174e-05,3.543207652158747618e-03,2.214042228183576468e-03
-2.070537784558500584e-05,3.543207644221226752e-03,2.214042240886261292e-03
-2.087135494554140410e-05,3.543207636220187685e-03,2.214042253690599611e-03
-2.103877074578200721e-05,3.543207628155010686e-03,2.214042266597578915e-03
-2.120748137627643092e-05,3.543207620025139344e-03,2.214042279608089119e-03
-2.137735735399733415e-05,3.543207611830075359e-03,2.214042292722930797e-03
-2.154828214422009096e-05,3.543207603569366402e-03,2.214042305942826028e-03
-2.172015086569251631e-05,3.543207595242608282e-03,2.214042319268421429e-03
-2.189286912528765554e-05,3.543207586849436708e-03,2.214042332700300736e-03
-2.206635196919120743e-05,3.543207578389522081e-03,2.214042346238990870e-03
-2.224052293897029817e-05,3.543207569862569933e-03,2.214042359884963677e-03
-2.241531322203533930e-05,3.543207561268313550e-03,2.214042373638644597e-03
-2.259066088705566835e-05,3.543207552606514842e-03,2.214042387500417437e-03
-2.276651019583369247e-05,3.543207543876957400e-03,2.214042401470626975e-03
-2.294281098399155507e-05,3.543207535079447804e-03,2.214042415549581123e-03
-2.311951810358916522e-05,3.543207526213809980e-03,2.214042429737562642e-03
-2.329659092148043736e-05,3.543207517279889536e-03,2.214042444034819163e-03
-2.347399286783387483e-05,3.543207508277544226e-03,2.214042458441579670e-03
-2.365169102980110388e-05,3.543207499206646113e-03,2.214042472958046692e-03
-2.382965578581861150e-05,3.543207490067081140e-03,2.214042487584403241e-03
-2.400786047647917874e-05,3.543207480858746958e-03,2.214042502320813684e-03
-2.418628110831631055e-05,3.543207471581550326e-03,2.214042517167427639e-03
-2.436489608721015667e-05,3.543207462235406675e-03,2.214042532124377814e-03
-2.454368597845282880e-05,3.543207452820242714e-03,2.214042547191784338e-03
-2.472263329080720345e-05,3.543207443335989922e-03,2.214042562369756065e-03
-2.490172228215986063e-05,3.543207433782587581e-03,2.214042577658389705e-03
-2.508093878460871933e-05,3.543207424159981050e-03,2.214042593057772863e-03
-2.526027004704187274e-05,3.543207414468120889e-03,2.214042608567985335e-03
-2.543970459345860880e-05,3.543207404706963728e-03,2.214042624189096510e-03
-2.561923209545824602e-05,3.543207394876468803e-03,2.214042639921171007e-03
-2.579884325748017950e-05,3.543207384976599251e-03,2.214042655764267373e-03
-2.597852971351984113e-05,3.543207375007323846e-03,2.214042671718435482e-03
-2.615828393417310842e-05,3.543207364968613531e-03,2.214042687783723470e-03
-2.633809914297623929e-05,3.543207354860440986e-03,2.214042703960172106e-03
-2.651796924111187671e-05,3.543207344682784959e-03,2.214042720247819552e-03
-2.669788873964436648e-05,3.543207334435622465e-03,2.214042736646700069e-03
-2.687785269853161304e-05,3.543207324118934423e-03,2.214042753156843582e-03
-2.705785667173569788e-05,3.543207313732704786e-03,2.214042769778277846e-03
-2.723789665782250179e-05,3.543207303276916208e-03,2.214042786511028014e-03
-2.741796905550128764e-05,3.543207292751556978e-03,2.214042803355115770e-03
-2.759807062361039305e-05,3.543207282156613219e-03,2.214042820310561932e-03
-2.777819844510427954e-05,3.543207271492073221e-03,2.214042837377383412e-03
-2.795834989464197600e-05,3.543207260757928311e-03,2.214042854555596691e-03
-2.813852260941657524e-05,3.543207249954168515e-03,2.214042871845217381e-03
-2.831871446290184759e-05,3.543207239080785591e-03,2.214042889246257192e-03
-2.849892354122417209e-05,3.543207228137771735e-03,2.214042906758730000e-03
-2.867914812189728652e-05,3.543207217125121308e-03,2.214042924382644047e-03
-2.885938665468351690e-05,3.543207206042828239e-03,2.214042942118010608e-03
-2.903963774436895261e-05,3.543207194890885588e-03,2.214042959964837489e-03
-2.921990013526107305e-05,3.543207183669289887e-03,2.214042977923133364e-03
-2.940017269723656668e-05,3.543207172378036798e-03,2.214042995992903436e-03
-2.958045441318446055e-05,3.543207161017122419e-03,2.214043014174155947e-03
-2.976074436770485766e-05,3.543207149586541978e-03,2.214043032466895666e-03
-2.994104173693781277e-05,3.543207138086293742e-03,2.214043050871127797e-03
-3.012134577940940667e-05,3.543207126516374674e-03,2.214043069386856678e-03
-3.030165582779305989e-05,3.543207114876781739e-03,2.214043088014086644e-03
-3.048197128149482990e-05,3.543207103167511900e-03,2.214043106752821601e-03
-3.066229159998018402e-05,3.543207091388564725e-03,2.214043125603065015e-03
-3.084261629676801402e-05,3.543207079539936744e-03,2.214043144564818624e-03
-3.102294493402528864e-05,3.543207067621627522e-03,2.214043163638086762e-03
-3.120327711770229937e-05,3.543207055633634025e-03,2.214043182822871599e-03
-3.138361249315425910e-05,3.543207043575956252e-03,2.214043202119174436e-03
-3.156395074120087771e-05,3.543207031448593770e-03,2.214043221526997875e-03
-3.174429157457984871e-05,3.543207019251543109e-03,2.214043241046343216e-03
-3.192463473475508676e-05,3.543207006984803835e-03,2.214043260677213062e-03
-3.210497998904410694e-05,3.543206994648376816e-03,2.214043280419607414e-03
-3.228532712803267008e-05,3.543206982242259450e-03,2.214043300273528872e-03
-3.246567596324791556e-05,3.543206969766452170e-03,2.214043320238977437e-03
-3.264602632506427896e-05,3.543206957220952809e-03,2.214043340315955712e-03
-3.282637806081872860e-05,3.543206944605762666e-03,2.214043360504463261e-03
-3.300673103311450412e-05,3.543206931920879574e-03,2.214043380804500954e-03
-3.318708511829453949e-05,3.543206919166303967e-03,2.214043401216070524e-03
-3.336744020506742647e-05,3.543206906342034977e-03,2.214043421739171971e-03
-3.354779619327090244e-05,3.543206893448073470e-03,2.214043442373806164e-03
-3.372815299275892353e-05,3.543206880484416847e-03,2.214043463119973534e-03
-3.390851052239999744e-05,3.543206867451066406e-03,2.214043483977674084e-03
-3.408886870917581159e-05,3.543206854348021281e-03,2.214043504946909113e-03
-3.426922748736982297e-05,3.543206841175282340e-03,2.214043526027678621e-03
-3.444958679783718356e-05,3.543206827932847847e-03,2.214043547219983043e-03
-3.462994658734745625e-05,3.543206814620717803e-03,2.214043568523822812e-03
-3.481030680799326394e-05,3.543206801238892641e-03,2.214043589939198361e-03
-3.499066741665795974e-05,3.543206787787371928e-03,2.214043611466110124e-03
-3.517102837453652491e-05,3.543206774266155230e-03,2.214043633104557235e-03
-3.535138964670443576e-05,3.543206760675242980e-03,2.214043654854540560e-03
-3.553175120172960067e-05,3.543206747014634745e-03,2.214043676716060532e-03
-3.571211301132313853e-05,3.543206733284330091e-03,2.214043698689116720e-03
-3.589247505002501432e-05,3.543206719484329453e-03,2.214043720773709988e-03
-3.607283729492121143e-05,3.543206705614632395e-03,2.214043742969840772e-03
-3.625319972538907292e-05,3.543206691675238919e-03,2.214043765277507771e-03
-3.643356232286820956e-05,3.543206677666149457e-03,2.214043787696711851e-03
-3.661392507065423715e-05,3.543206663587363577e-03,2.214043810227454313e-03
-3.679428795371322212e-05,3.543206649438880411e-03,2.214043832869732990e-03
-3.697465095851457887e-05,3.543206635220701693e-03,2.214043855623549616e-03
-3.715501407288079253e-05,3.543206620932825256e-03,2.214043878488903758e-03
-3.733537728585206315e-05,3.543206606575252399e-03,2.214043901465794981e-03
-3.751574058756457008e-05,3.543206592147983124e-03,2.214043924554224586e-03
-3.769610396914083883e-05,3.543206577651017430e-03,2.214043947754190840e-03
-3.787646742259115996e-05,3.543206563084354017e-03,2.214043971065695910e-03
-3.805683094072475232e-05,3.543206548447994184e-03,2.214043994488738929e-03
-3.823719451706989115e-05,3.543206533741937066e-03,2.214044018023319030e-03
-3.841755814580203232e-05,3.543206518966183528e-03,2.214044041669436646e-03
-3.859792182167908544e-05,3.543206504120733139e-03,2.214044065427093078e-03
-3.877828553998309731e-05,3.543206489205585896e-03,2.214044089296287026e-03
-3.895864929646793921e-05,3.543206474220740934e-03,2.214044113277019356e-03
-3.913901308731206275e-05,3.543206459166199553e-03,2.214044137369289202e-03
-3.931937690907608048e-05,3.543206444041961754e-03,2.214044161573096130e-03
-3.949974075866448002e-05,3.543206428848026668e-03,2.214044185888442307e-03
-3.968010463329134965e-05,3.543206413584393862e-03,2.214044210315326434e-03
-3.986046853044931601e-05,3.543206398251064204e-03,2.214044234853747642e-03
-4.004083244788170714e-05,3.543206382848037694e-03,2.214044259503708100e-03
-4.022119638355754810e-05,3.543206367375313897e-03,2.214044284265205640e-03
-4.040156033564891469e-05,3.543206351832893682e-03,2.214044309138241996e-03
-4.058192430251067917e-05,3.543206336220775746e-03,2.214044334122816735e-03
-4.076228828266222119e-05,3.543206320538960959e-03,2.214044359218928556e-03
-4.094265227477090720e-05,3.543206304787449752e-03,2.214044384426578325e-03
-4.112301627763741987e-05,3.543206288966239959e-03,2.214044409745767345e-03
-4.130338029018232749e-05,3.543206273075334613e-03,2.214044435176493446e-03
-4.148374431143413073e-05,3.543206257114731115e-03,2.214044460718757931e-03
-4.166410834051846118e-05,3.543206241084430330e-03,2.214044486372561231e-03
