accel_x (m/s^2),accel_y (m/s^2),accel_z (m/s^2)
-1.545692886201567085e-04,1.999999999999987621e-01,9.794841342675546514e+00
-1.547238586882399274e-04,3.799999999999986722e-01,9.794841341562182890e+00
-1.550175411198212027e-04,5.419999999999985940e-01,9.794841339311668449e+00
-1.554364246815280698e-04,6.877999999999985237e-01,9.794841336031643309e+00
-1.559679892632755377e-04,8.190199999999985270e-01,9.794841331816853014e+00
-1.566009667659478528e-04,9.371179999999985633e-01,9.794841326750939103e+00
-1.573252159003099343e-04,1.043406199999998618e+00,9.794841320907938353e+00
-1.581316095060266444e-04,1.139065579999998468e+00,9.794841314353556427e+00
-1.590119331387792180e-04,1.225159021999998599e+00,9.794841307146240794e+00
-1.599587937986682112e-04,1.302643119799998583e+00,9.794841299338095553e+00
-1.609655377857765785e-04,1.372378807819998547e+00,9.794841290975670134e+00
-1.620261767701750596e-04,1.435140927037998670e+00,9.794841282100630764e+00
-1.631353212549265126e-04,1.491626834334198737e+00,9.794841272750327121e+00
-1.642881206927897296e-04,1.542464150900778819e+00,9.794841262958296824e+00
-1.654802095912521174e-04,1.588217735810700804e+00,9.794841252754698857e+00
-1.667076590070590075e-04,1.629395962229630568e+00,9.794841242166690165e+00
-1.679669328912897686e-04,1.666456366006667356e+00,9.794841231218736510e+00
-1.692548487999258290e-04,1.699810729406000531e+00,9.794841219932928666e+00
-1.705685425333619966e-04,1.729829656465400323e+00,9.794841208329202686e+00
-1.719054363119664299e-04,1.756846690818860246e+00,9.794841196425588592e+00
-1.732632101340843386e-04,1.781162021736974133e+00,9.794841184238388010e+00
-1.746397759982410401e-04,1.803045819563276586e+00,9.794841171782355360e+00
-1.760332547031251546e-04,1.822741237606948728e+00,9.794841159070855952e+00
-1.774419549675727360e-04,1.840467113846253833e+00,9.794841146115992103e+00
-1.788643546385535366e-04,1.856420402461628427e+00,9.794841132928743477e+00
-1.802990837783578705e-04,1.870778362215465451e+00,9.794841119519050565e+00
-1.817449094430653570e-04,1.883700525993918795e+00,9.794841105895946143e+00
-1.832007219831663749e-04,1.895330473394526871e+00,9.794841092067615662e+00
-1.846655227141215882e-04,1.905797426055074073e+00,9.794841078041489624e+00
-1.861384128198649069e-04,1.915217683449566444e+00,9.794841063824314631e+00
-1.876185833659569594e-04,1.923695915104609577e+00,9.794841049422204904e+00
-1.891053063114226372e-04,1.931326323594148464e+00,9.794841034840729321e+00
-1.905979264194047906e-04,1.938193691234733507e+00,9.794841020084930960e+00
-1.920958539767527666e-04,1.944374322111259934e+00,9.794841005159396374e+00
-1.935985582416521083e-04,1.949936889900133918e+00,9.794840990068287567e+00
-1.951055615464910523e-04,1.954943200910120416e+00,9.794840974815388179e+00
-1.966164339904402810e-04,1.959448880819108174e+00,9.794840959404124803e+00
-1.981307886627753606e-04,1.963503992737197335e+00,9.794840943837627378e+00
-1.996482773438657790e-04,1.967153593463477401e+00,9.794840928118723866e+00
-2.011685866360662174e-04,1.970438234117129594e+00,9.794840912249988207e+00
-2.026914344815178629e-04,1.973394410705416435e+00,9.794840896233761640e+00
-2.042165670281699530e-04,1.976054969634874592e+00,9.794840880072163358e+00
-2.057437558091990929e-04,1.978449472671387044e+00,9.794840863767124262e+00
-2.072727952044866673e-04,1.980604525404248140e+00,9.794840847320397614e+00
-2.088035001559483412e-04,1.982544072863823281e+00,9.794840830733567927e+00
-2.103357041113308431e-04,1.984289665577440909e+00,9.794840814008086483e+00
-2.118692571736287473e-04,1.985860699019696751e+00,9.794840797145262457e+00
-2.134040244355599582e-04,1.987274629117727009e+00,9.794840780146289561e+00
-2.149398844805932955e-04,1.988547166205954175e+00,9.794840763012247820e+00
-2.164767280338735899e-04,1.989692449585358736e+00,9.794840745744117783e+00
-2.180144567480539193e-04,1.990723204626822840e+00,9.794840728342796510e+00
-2.195529821105450172e-04,1.991650884164140489e+00,9.794840710809088691e+00
-2.210922244600396292e-04,1.992485795747726218e+00,9.794840693143733290e+00
-2.226321121013839538e-04,1.993237216172953463e+00,9.794840675347396441e+00
-2.241725805089628883e-04,1.993913494555658028e+00,9.794840657420683883e+00
-2.257135716097455650e-04,1.994522145100092070e+00,9.794840639364144508e+00
-2.272550331380275785e-04,1.995069930590082752e+00,9.794840621178275697e+00
-2.287969180546978783e-04,1.995562937531074388e+00,9.794840602863539303e+00
-2.303391840245797863e-04,1.996006643777966882e+00,9.794840584420335006e+00
-2.318817929460373069e-04,1.996405979400170061e+00,9.794840565849044722e+00
-2.334247105276213380e-04,1.996765381460152922e+00,9.794840547150002408e+00
-2.349679059070507517e-04,1.997088843314137607e+00,9.794840528323518924e+00
-2.365113513082959433e-04,1.997379958982723691e+00,9.794840509369866055e+00
-2.380550217329531482e-04,1.997641963084451300e+00,9.794840490289304924e+00
-2.395988946824825511e-04,1.997877766776006148e+00,9.794840471082061129e+00
-2.411429499082213797e-04,1.998089990098405488e+00,9.794840451748338950e+00
-2.426871691863963947e-04,1.998280991088564829e+00,9.794840432288332011e+00
-2.442315361156351485e-04,1.998452891979708212e+00,9.794840412702214394e+00
-2.457760359347253148e-04,1.998607602781737214e+00,9.794840392990135314e+00
-2.473206553585994031e-04,1.998746842503563270e+00,9.794840373152235102e+00
-2.488653824307199280e-04,1.998872158253206743e+00,9.794840353188648763e+00
-2.504102063902263167e-04,1.998984942427886047e+00,9.794840333099482876e+00
-2.519551175523673586e-04,1.999086448185097398e+00,9.794840312884851130e+00
-2.535001072008905075e-04,1.999177803366587458e+00,9.794840292544844118e+00
-2.550451674911915112e-04,1.999260023029928668e+00,9.794840272079547105e+00
-2.565902913631500320e-04,1.999334020726935668e+00,9.794840251489041805e+00
-2.581354724626808974e-04,1.999400618654241901e+00,9.794840230773397494e+00
-2.596807050711309631e-04,1.999460556788817511e+00,9.794840209932678121e+00
-2.612259840417356497e-04,1.999514501109935560e+00,9.794840188966944083e+00
-2.627713047424302061e-04,1.999563050998941938e+00,9.794840167876245118e+00
-2.643166630043795417e-04,1.999606745899047633e+00,9.794840146660630964e+00
-2.658620550756556349e-04,1.999646071309142847e+00,9.794840125320147806e+00
-2.674074775795465438e-04,1.999681464178228341e+00,9.794840103854827618e+00
-2.689529274770346631e-04,1.999713317760405396e+00,9.794840082264711256e+00
-2.704984020330277296e-04,1.999741985984364812e+00,9.794840060549834249e+00
-2.720438987859659244e-04,1.999767787385928308e+00,9.794840038710217911e+00
-2.735894155204688619e-04,1.999791008647335389e+00,9.794840016745895994e+00
-2.751349502427173155e-04,1.999811907782601761e+00,9.794839994656888038e+00
-2.766805011582976551e-04,1.999830717004341452e+00,9.794839972443215359e+00
-2.782260666522606580e-04,1.999847645303907129e+00,9.794839950104901050e+00
-2.797716452711756325e-04,1.999862880773516371e+00,9.794839927641962873e+00
-2.813172357069781363e-04,1.999876592696164579e+00,9.794839905054413265e+00
-2.828628367824334816e-04,1.999888933426547943e+00,9.794839882342271764e+00
-2.844084474380539928e-04,1.999900040083893105e+00,9.794839859505547253e+00
-2.859540667203239747e-04,1.999910036075503772e+00,9.794839836544255718e+00
-2.874996937711027205e-04,1.999919032467953217e+00,9.794839813458406041e+00
-2.890453278180868933e-04,1.999927129221157784e+00,9.794839790248007105e+00
-2.905909681662268438e-04,1.999934416299041784e+00,9.794839766913067791e+00
-2.921366141900013443e-04,1.999940974669137450e+00,9.794839743453600533e+00
-2.936822653264646002e-04,1.999946877202223527e+00,9.794839719869608885e+00
-2.952279210689886147e-04,1.999952189482001152e+00,9.794839696161099951e+00
-2.967735809616317880e-04,1.999956970533800948e+00,9.794839672328079061e+00
-2.983192445940697850e-04,1.999961273480420632e+00,9.794839648370551544e+00
