q0 (),q1,q2,q3
4.329780281177467045e-17,7.071067811865475727e-01,7.071067811865474617e-01,4.329780281177465813e-17
4.329666926310995161e-17,7.070882689319856196e-01,7.071252929564660894e-01,4.329893633076353289e-17
4.329451543889283246e-17,7.070530943131710933e-01,7.071604639840733952e-01,4.330108993508263020e-17
4.329144322004792972e-17,7.070029211718695805e-01,7.072106259484816082e-01,4.330416146954020440e-17
4.328754424927639786e-17,7.069392461469685696e-01,7.072742765413964072e-01,4.330805894428405302e-17
4.328290096658548576e-17,7.068634155859587764e-01,7.073500630565832115e-01,4.331269952994615695e-17
4.327758753882644637e-17,7.067766407254399974e-01,7.074367675805819378e-01,4.331800865083548352e-17
4.327167069432409155e-17,7.066800113216563650e-01,7.075332936324789657e-01,4.332391916685998446e-17
4.326521047247866006e-17,7.065745078924239309e-01,7.076386541142160036e-01,4.333037063569578375e-17
4.325826089715743578e-17,7.064610127144499430e-01,7.077519604455178026e-01,4.333730864749337681e-17
4.325087058174987873e-17,7.063403197046335125e-01,7.078724127691063961e-01,4.334468422512000860e-17
4.324308327292364152e-17,7.062131433002749592e-01,7.079992911224878283e-01,4.335245328358748748e-17
4.323493833937480630e-17,7.060801264409730660e-01,7.081319474823173366e-01,4.336057614291007818e-17
4.322647121120413738e-17,7.059418477441836703e-01,7.082697985962184140e-01,4.336901708917997066e-17
4.321771377496190851e-17,7.057988279567914969e-01,7.084123195250202620e-01,4.337774397914340514e-17
4.320869472887866156e-17,7.056515357564685509e-01,7.085590378257392574e-01,4.338672788401099759e-17
4.319943990233052773e-17,7.055003929689386277e-01,7.087095283123214795e-01,4.339594276864575274e-17
4.318997254316925833e-17,7.053457792604332921e-01,7.088634083372424843e-01,4.340536520264435995e-17
4.318031357617330887e-17,7.051880363585177891e-01,7.090203335425703246e-01,4.341497410016487627e-17
4.317048183554164606e-17,7.050274718490036063e-01,7.091799940340973718e-01,4.342475048565981889e-17
4.316049427405297542e-17,7.048643625917773159e-01,7.093421109366674360e-01,4.343467728295082595e-17
4.315036615124489248e-17,7.046989577940000471e-01,7.095064332929266193e-01,4.344473912533188394e-17
4.314011120272783845e-17,7.045314817752132974e-01,7.096727352714222725e-01,4.345492218461471392e-17
4.312974179253317848e-17,7.043621364553728226e-01,7.098408136533308488e-01,4.346521401723522231e-17
4.311926905020239264e-17,7.041911035936844199e-01,7.100104855701138140e-01,4.347560342572489759e-17
4.310870299415098708e-17,7.040185468032896798e-01,7.101815864671402467e-01,4.348608033401862995e-17
4.309805264268578280e-17,7.038446133643156966e-01,7.103539682707749048e-01,4.349663567522125167e-17
4.308732611391472863e-17,7.036694358555267703e-01,7.105274977386621948e-01,4.350726129059154395e-17
4.307653071566367695e-17,7.034931336227757681e-01,7.107020549749433203e-01,4.351794983862553070e-17
4.306567302640167964e-17,7.033158141006153885e-01,7.108775320939526576e-01,4.352869471323144972e-17
4.305475896807605321e-17,7.031375740017848930e-01,7.110538320175797677e-01,4.353948997008943933e-17
4.304379387166753974e-17,7.029585003878066063e-01,7.112308673929486069e-01,4.355033026037850784e-17
4.303278253619426761e-17,7.027786716325942207e-01,7.114085596183997717e-01,4.356121077113511158e-17
4.302172928182034513e-17,7.025981582897820044e-01,7.115868379669528787e-01,4.357212717158075374e-17
4.301063799765897639e-17,7.024170238734083194e-01,7.117656387975074272e-01,4.358307556482192934e-17
4.299951218480057730e-17,7.022353255606189615e-01,7.119449048450108286e-01,4.359405244438547321e-17
4.298835499504363355e-17,7.020531148241893060e-01,7.121245845816964737e-01,4.360505465510565922e-17
4.297716926575770574e-17,7.018704380018807587e-01,7.123046316422827484e-01,4.361607935792780277e-17
4.296595755126530225e-17,7.016873368089456831e-01,7.124850043067357808e-01,4.362712399823660482e-17
4.295472215109049526e-17,7.015038487994619265e-01,7.126656650348336397e-01,4.363818627735643776e-17
4.294346513538726032e-17,7.013200077816097444e-01,7.128465800473499092e-01,4.364926412690622929e-17
4.293218836782942188e-17,7.011358441914923301e-01,7.130277189491888157e-01,4.366035568572313003e-17
4.292089352621561999e-17,7.009513854296408608e-01,7.132090543902728230e-01,4.367145927909790727e-17
4.290958212101758723e-17,7.007666561639308567e-01,7.133905617604028304e-01,4.368257340009047858e-17
4.289825551207717865e-17,7.005816786022649456e-01,7.135722189146889161e-01,4.369369669271741239e-17
4.288691492363682820e-17,7.003964727380395106e-01,7.137540059264905201e-01,4.370482793682388075e-17
4.287556145787002942e-17,7.002110565711135992e-01,7.139359048651109374e-01,4.371596603447137143e-17
4.286419610706142789e-17,7.000254463067253630e-01,7.141178995957669917e-01,4.372710999768935273e-17
4.285281976457150710e-17,6.998396565345584852e-01,7.142999755996014555e-01,4.373825893745422109e-17
4.284143323470697635e-17,6.996537003899385709e-01,7.144821198117319305e-01,4.374941205377266003e-17
4.283003724160630893e-17,6.994675896989441810e-01,7.146643204755289691e-01,4.376056862675874201e-17
4.281863243723852670e-17,6.992813351090375606e-01,7.148465670114965143e-01,4.377172800860515485e-17
4.280721940860392855e-17,6.990949462066611275e-01,7.150288498992929398e-01,4.378288961635911553e-17
4.279579868421627146e-17,6.989084316230993466e-01,7.152111605715751885e-01,4.379405292542216247e-17
4.278437073993811632e-17,6.987217991297778319e-01,7.153934913184816224e-01,4.380521746370141756e-17
4.277293600423400677e-17,6.985350557240534997e-01,7.155758352016881041e-01,4.381638280634706420e-17
