ref_vel_x (m/s),ref_vel_y (m/s),ref_vel_z (m/s)
9.998406370074913729e-01,1.785218721764626759e-02,1.224646799147353207e-16
9.998312458623912491e-01,1.837062321366538659e-02,1.224646799147353207e-16
9.998215763071194306e-01,1.888956195222520756e-02,1.224646799147353207e-16
9.998116285393067182e-01,1.940895251112960407e-02,1.224646799147353207e-16
9.998014027602961651e-01,1.992874904613999715e-02,1.224646799147353207e-16
9.997908991725371619e-01,2.044891028318236367e-02,1.224646799147353207e-16
9.997801179774513658e-01,2.096939906133211615e-02,1.224646799147353207e-16
9.997690593737039721e-01,2.149018192149909634e-02,1.224646799147353207e-16
9.997577235558227082e-01,2.201122873624396237e-02,1.224646799147353207e-16
9.997461107131139224e-01,2.253251237661117387e-02,1.224646799147353207e-16
9.997342210288325814e-01,2.305400841227890629e-02,1.224646799147353207e-16
9.997220546795650975e-01,2.357569484169276877e-02,1.224646799147353207e-16
9.997096118347946758e-01,2.409755184918686843e-02,1.224646799147353207e-16
9.996968926566160984e-01,2.461956158639147171e-02,1.224646799147353207e-16
9.996838972995787387e-01,2.514170797550023886e-02,1.224646799147353207e-16
9.996706259106317161e-01,2.566397653221057576e-02,1.224646799147353207e-16
9.996570786291559818e-01,2.618635420636991271e-02,1.224646799147353207e-16
9.996432555870646830e-01,2.670882923855752086e-02,1.224646799147353207e-16
9.996291569089591489e-01,2.723139103100752009e-02,1.224646799147353207e-16
9.996147827123276208e-01,2.775403003144059910e-02,1.224646799147353207e-16
9.996001331077783991e-01,2.827673762851210665e-02,1.224646799147353207e-16
9.995852081992968596e-01,2.879950605771537664e-02,1.224646799147353207e-16
9.995700080845202340e-01,2.932232831669504686e-02,1.224646799147353207e-16
9.995545328550247133e-01,2.984519808902912422e-02,1.224646799147353207e-16
9.995387825966177697e-01,3.036810967563322375e-02,1.224646799147353207e-16
9.995227573896346973e-01,3.089105793302407421e-02,1.224646799147353207e-16
9.995064573092328208e-01,3.141403821775673455e-02,1.224646799147353207e-16
9.994898824256829295e-01,3.193704633641886864e-02,1.224646799147353207e-16
