ref_pos_lat (deg),ref_pos_lon (deg),ref_pos_alt (m)
3.200000000000000000e+01,1.199999999999999858e+02,0.000000000000000000e+00
3.200000036072820819e+01,1.199999999999999858e+02,-4.898587196589412767e-18
3.200000072145640928e+01,1.200000000000886331e+02,-9.797174393178825534e-18
3.200000108218455352e+01,1.200000000003457501e+02,-1.469576158976823676e-17
3.200000144291250592e+01,1.200000000008431158e+02,-1.959434878635765107e-17
3.200000180364006752e+01,1.200000000016454038e+02,-2.449293598294706538e-17
3.200000216436690437e+01,1.200000000028107365e+02,-2.939152317953647968e-17
3.200000252509260434e+01,1.200000000043914667e+02,-3.429011037612589399e-17
3.200000288581660612e+01,1.200000000064347319e+02,-3.918869757271530830e-17
3.200000324653827732e+01,1.200000000089829513e+02,-4.408728476930472261e-17
3.200000360725686477e+01,1.200000000120742101e+02,-4.898587196589413692e-17
3.200000396797152291e+01,1.200000000157429412e+02,-5.388445916248355122e-17
3.200000432868131384e+01,1.200000000200200105e+02,-5.878304635907295937e-17
3.200000468938522147e+01,1.200000000249332004e+02,-6.368163355566237368e-17
3.200000505008215157e+01,1.200000000305075645e+02,-6.858022075225178798e-17
3.200000541077093885e+01,1.200000000367656554e+02,-7.347880794884120229e-17
3.200000577145036118e+01,1.200000000437276526e+02,-7.837739514543061660e-17
3.200000613211912537e+01,1.200000000514118739e+02,-8.327598234202003091e-17
3.200000649277592402e+01,1.200000000598346759e+02,-8.817456953860944521e-17
3.200000685341936446e+01,1.200000000690108237e+02,-9.307315673519885952e-17
3.200000721404805404e+01,1.200000000789535903e+02,-9.797174393178827383e-17
3.200000757466054324e+01,1.200000000896749128e+02,-1.028703311283776881e-16
3.200000793525536125e+01,1.200000001011855488e+02,-1.077689183249671024e-16
3.200000829583102302e+01,1.200000001134951333e+02,-1.126675055215565168e-16
3.200000865638600800e+01,1.200000001266123775e+02,-1.175660927181459187e-16
3.200000901691876720e+01,1.200000001405450405e+02,-1.224646799147353207e-16
3.200000937742777296e+01,1.200000001553001709e+02,-1.273632671113247227e-16
3.200000973791144787e+01,1.200000001708840642e+02,-1.322618543079141247e-16
3.200001009836822874e+01,1.200000001873024047e+02,-1.371604415045035267e-16
3.200001045879653105e+01,1.200000002045602372e+02,-1.420590287010929286e-16
3.200001081919476320e+01,1.200000002226621802e+02,-1.469576158976823306e-16
3.200001117956134067e+01,1.200000002416122840e+02,-1.518562030942717326e-16
3.200001153989464342e+01,1.200000002614142574e+02,-1.567547902908611346e-16
3.200001190019309405e+01,1.200000002820713974e+02,-1.616533774874505366e-16
3.200001226045505831e+01,1.200000003035866314e+02,-1.665519646840399386e-16
3.200001262067895169e+01,1.200000003259626453e+02,-1.714505518806293405e-16
3.200001298086316126e+01,1.200000003492017981e+02,-1.763491390772187425e-16
3.200001334100607409e+01,1.200000003733061931e+02,-1.812477262738081445e-16
3.200001370110607724e+01,1.200000003982777486e+02,-1.861463134703975465e-16
3.200001406116156488e+01,1.200000004241181273e+02,-1.910449006669869485e-16
3.200001442117092409e+01,1.200000004508288356e+02,-1.959434878635763504e-16
3.200001478113255615e+01,1.200000004784112377e+02,-2.008420750601657524e-16
3.200001514104484102e+01,1.200000005068664990e+02,-2.057406622567551544e-16
3.200001550090617997e+01,1.200000005361956852e+02,-2.106392494533445564e-16
3.200001586071496718e+01,1.200000005663997342e+02,-2.155378366499339584e-16
3.200001622046959682e+01,1.200000005974794561e+02,-2.204364238465233604e-16
3.200001658016846307e+01,1.200000006294355757e+02,-2.253350110431127870e-16
3.200001693980996720e+01,1.200000006622687181e+02,-2.302335982397021890e-16
3.200001729939251049e+01,1.200000006959794803e+02,-2.351321854362915910e-16
3.200001765891448713e+01,1.200000007305683170e+02,-2.400307726328809929e-16
3.200001801837430548e+01,1.200000007660356260e+02,-2.449293598294703949e-16
3.200001837777038105e+01,1.200000008023817486e+02,-2.498279470260597969e-16
3.200001873710109379e+01,1.200000008396070115e+02,-2.547265342226491989e-16
3.200001909636487341e+01,1.200000008777116562e+02,-2.596251214192386009e-16
3.200001945556011407e+01,1.200000009166958677e+02,-2.645237086158280028e-16
3.200001981468523127e+01,1.200000009565598589e+02,-2.694222958124174048e-16
3.200002017373863339e+01,1.200000009973036725e+02,-2.743208830090068068e-16
3.200002053271873592e+01,1.200000010389274649e+02,-2.792194702055962088e-16
3.200002089162394725e+01,1.200000010814312787e+02,-2.841180574021856108e-16
3.200002125045268997e+01,1.200000011248151424e+02,-2.890166445987750128e-16
3.200002160920336536e+01,1.200000011690790700e+02,-2.939152317953644147e-16
3.200002196787440312e+01,1.200000012142230190e+02,-2.988138189919538167e-16
3.200002232646421874e+01,1.200000012602469752e+02,-3.037124061885432187e-16
3.200002268497122770e+01,1.200000013071508675e+02,-3.086109933851326207e-16
3.200002304339385262e+01,1.200000013549346249e+02,-3.135095805817220227e-16
3.200002340173050186e+01,1.200000014035981906e+02,-3.184081677783114246e-16
3.200002375997961224e+01,1.200000014531413797e+02,-3.233067549749008266e-16
3.200002411813959924e+01,1.200000015035641070e+02,-3.282053421714902286e-16
3.200002447620888546e+01,1.200000015548662304e+02,-3.331039293680796306e-16
3.200002483418590060e+01,1.200000016070476363e+02,-3.380025165646690326e-16
3.200002519206906726e+01,1.200000016601081114e+02,-3.429011037612584346e-16
3.200002554985680092e+01,1.200000017140475279e+02,-3.477996909578478365e-16
3.200002590754754550e+01,1.200000017688656584e+02,-3.526982781544372385e-16
3.200002626513970938e+01,1.200000018245623323e+02,-3.575968653510266405e-16
3.200002662263174358e+01,1.200000018811373792e+02,-3.624954525476160425e-16
3.200002698002204937e+01,1.200000019385905574e+02,-3.673940397442054445e-16
3.200002733730907778e+01,1.200000019969216822e+02,-3.722926269407948464e-16
3.200002769449125140e+01,1.200000020561304837e+02,-3.771912141373842484e-16
3.200002805156699992e+01,1.200000021162167485e+02,-3.820898013339736504e-16
3.200002840853474595e+01,1.200000021771802778e+02,-3.869883885305630524e-16
3.200002876539294050e+01,1.200000022390208017e+02,-3.918869757271524544e-16
3.200002912214000617e+01,1.200000023017380215e+02,-3.967855629237418564e-16
3.200002947877437265e+01,1.200000023653317669e+02,-4.016841501203312583e-16
3.200002983529448386e+01,1.200000024298017394e+02,-4.065827373169206603e-16
3.200003019169876239e+01,1.200000024951476547e+02,-4.114813245135100623e-16
3.200003054798565216e+01,1.200000025613692429e+02,-4.163799117100994643e-16
3.200003090415358997e+01,1.200000026284662766e+02,-4.212784989066888663e-16
3.200003126020100552e+01,1.200000026964384006e+02,-4.261770861032782682e-16
3.200003161612634273e+01,1.200000027652853731e+02,-4.310756732998676702e-16
3.200003197192803128e+01,1.200000028350068959e+02,-4.359742604964570722e-16
3.200003232760451510e+01,1.200000029056026420e+02,-4.408728476930464742e-16
3.200003268315423099e+01,1.200000029770723557e+02,-4.457714348896358762e-16
3.200003303857562997e+01,1.200000030494156960e+02,-4.506700220862252782e-16
3.200003339386713463e+01,1.200000031226323500e+02,-4.555686092828146801e-16
3.200003374902719600e+01,1.200000031967220480e+02,-4.604671964794040821e-16
3.200003410405424376e+01,1.200000032716843776e+02,-4.653657836759934841e-16
3.200003445894673604e+01,1.200000033475191117e+02,-4.702643708725828861e-16
3.200003481370311675e+01,1.200000034242258948e+02,-4.751629580691722881e-16
3.200003516832181560e+01,1.200000035018043576e+02,-4.800615452657616900e-16
3.200003552280128361e+01,1.200000035802541873e+02,-4.849601324623510920e-16
3.200003587713995756e+01,1.200000036595750572e+02,-4.898587196589404940e-16
3.200003623133630271e+01,1.200000037397665835e+02,-4.947573068555298960e-16
3.200003658538874163e+01,1.200000038208284678e+02,-4.996558940521192980e-16
3.200003693929573956e+01,1.200000039027603265e+02,-5.045544812487087000e-16
3.200003729305573330e+01,1.200000039855617899e+02,-5.094530684452981019e-16
