q0 (),q1,q2,q3
4.329780281177467045e-17,7.071067811865475727e-01,7.071067811865474617e-01,4.329780281177465813e-17
4.329326843906851443e-17,7.070327292605668168e-01,7.071808253582346770e-01,4.330233670966727187e-17
4.328465182299362829e-17,7.068920092410332368e-01,7.073214879184535064e-01,4.331094980737387019e-17
4.327235884247242532e-17,7.066912496337772742e-01,7.075220686954226679e-01,4.332323183769815548e-17
4.325675398760638829e-17,7.064364030138882145e-01,7.077765244035714165e-01,4.333881275612361483e-17
4.323816468656050230e-17,7.061328166890992186e-01,7.080794059953439135e-01,4.335735890471785782e-17
4.321688516071347625e-17,7.057852956591689209e-01,7.084258016414277659e-01,4.337856952067861112e-17
4.319317986294224590e-17,7.053981587673281428e-01,7.088112849042847996e-01,4.340217356287775302e-17
4.316728654694965565e-17,7.049752888262053041e-01,7.092318676881407269e-01,4.342792683087903540e-17
4.313941900955695912e-17,7.045201774028609920e-01,7.096839575700166769e-01,4.345560935221734880e-17
4.310976954271906774e-17,7.040359648632368295e-01,7.101643191396559418e-01,4.348502301515195229e-17
4.307851112755703346e-17,7.035254762034240938e-01,7.106700390003404255e-01,4.351598942558458135e-17
4.304579939883439330e-17,7.029912531319978397e-01,7.111984941068866251e-01,4.354834796832082445e-17
4.301177440494526723e-17,7.024355828128034940e-01,7.117473231410407219e-01,4.358195405431862210e-17
4.297656218555726406e-17,7.018605236298207650e-01,7.123144006476871404e-01,4.361667753698777209e-17
4.294027618650111047e-17,7.012679282940649239e-01,7.128978136774933860e-01,4.365240128196442534e-17
4.290301852926741585e-17,7.006594645760421125e-01,7.134958407026728011e-01,4.368901987607390092e-17
4.286488115051562124e-17,7.000366339153430983e-01,7.141069325923645739e-01,4.372643846240870009e-17
4.282594682528333599e-17,6.994007881309195485e-01,7.147296954526575208e-01,4.376457168958298145e-17
4.278629008607323929e-17,6.987531444309121875e-01,7.153628751535214825e-01,4.380334276428038431e-17
4.274597804866325036e-17,6.980947988991547115e-01,7.160053433808638568e-01,4.384268259718882083e-17
4.270507115430952197e-17,6.974267386162680271e-01,7.166560850666627847e-01,4.388252903331809213e-17
4.266362383697184119e-17,6.967498525562785261e-01,7.173141870636633444e-01,4.392282615852505463e-17
4.262168512326950803e-17,6.960649413846405897e-01,7.179788279435521670e-01,4.396352367483196873e-17
4.257929917205827495e-17,6.953727262701970835e-01,7.186492688088909064e-01,4.400457633781970191e-17
4.253650575979285765e-17,6.946738568117506452e-01,7.193248450194720256e-01,4.404594345001311412e-17
4.249334071719355522e-17,6.939689181693705633e-01,7.200049587432252318e-01,4.408758840475564266e-17
4.244983632216025325e-17,6.932584374811656680e-01,7.206890722504211144e-01,4.412947827559769153e-17
4.240602165336450877e-17,6.925428896378814647e-01,7.213767018777451634e-01,4.417158344670275568e-17
4.236192290849282124e-17,6.918227024802063863e-01,7.220674125959319900e-01,4.421387728021096995e-17
4.231756369070538489e-17,6.910982614769992649e-01,7.227608131210968567e-01,4.425633581689448020e-17
4.227296526650973896e-17,6.903699139366847870e-01,7.234565515157453941e-01,4.429893750679699221e-17
4.222814679792160150e-17,6.896379727987282937e-01,7.241543112307352592e-01,4.434166296687380457e-17
4.218312555149299189e-17,6.889027200473234469e-01,7.248538075442516604e-01,4.438449476294197082e-17
4.213791708652561131e-17,6.881644097851505881e-01,7.255547843581870993e-01,4.442741721351509633e-17
4.209253542455265933e-17,6.874232710012245784e-01,7.262570113162261087e-01,4.447041621333697187e-17
4.204699320196197810e-17,6.866795100634196514e-01,7.269602812114716039e-01,4.451347907464442464e-17
4.200130180744407649e-17,6.859333129631665082e-01,7.276644076546375794e-01,4.455659438438533714e-17
