ref_vel_x (m/s),ref_vel_y (m/s),ref_vel_z (m/s)
4.000000000000000000e+00,-2.449293598294706414e-16,4.898587196589412829e-16
3.999999912270183255e+00,8.377580348319291952e-04,4.898587196589412829e-16
3.999999262192262428e+00,2.429498169400345301e-03,4.898587196589412829e-16
3.999997238958747037e+00,4.699821528402784061e-03,4.898587196589412829e-16
3.999992816298643561e+00,7.580867974394271680e-03,4.898587196589412829e-16
3.999984843160291348e+00,1.101156155775250174e-02,4.898587196589412829e-16
3.999972110912630718e+00,1.493693145039615144e-02,4.898587196589412829e-16
3.999953402279893044e+00,1.930750086130603171e-02,4.898587196589412829e-16
3.999927526145568457e+00,2.407873715526744063e-02,4.898587196589412829e-16
3.999893341497541055e+00,2.921055705792997836e-02,4.898587196589412829e-16
3.999849773095450978e+00,3.466688143272876610e-02,4.898587196589412829e-16
3.999795820889763487e+00,4.041523466196338121e-02,4.898587196589412829e-16
3.999730564782320474e+00,4.642638415922655665e-02,4.898587196589412829e-16
3.999653165968237722e+00,5.267401598749613112e-02,4.898587196589412829e-16
3.999562865821181479e+00,5.913444296059018612e-02,4.898587196589412829e-16
3.999458983063873152e+00,6.578634196920112032e-02,4.898587196589412829e-16
3.999340909791742504e+00,7.261051760011133505e-02,4.898587196589412829e-16
3.999208106780557603e+00,7.958968941180689927e-02,4.898587196589412829e-16
3.999060098401286290e+00,8.670830049478903123e-02,4.898587196589412829e-16
3.998896467381289455e+00,9.395234518330182472e-02,4.898587196589412829e-16
3.998716849585474797e+00,1.013092139995897950e-01,4.898587196589412829e-16
3.998520928940362928e+00,1.087675541046060346e-01,4.898587196589412829e-16
3.998308432585073735e+00,1.163171437024331095e-01,4.898587196589412829e-16
3.998079126303532682e+00,1.239487790015750407e-01,4.898587196589412829e-16
3.997832810269777326e+00,1.316541724764289378e-01,4.898587196589412829e-16
3.997569315121531019e+00,1.394258612982990919e-01,4.898587196589412829e-16
3.997288498364946374e+00,1.472571249186676590e-01,4.898587196589412829e-16
3.996990241104622754e+00,1.551419108893816734e-01,4.898587196589412829e-16
3.996674445086865202e+00,1.630747680961051604e-01,4.898587196589412829e-16
3.996341030040063025e+00,1.710507866638706076e-01,4.898587196589412829e-16
3.995989931293539410e+00,1.790655438677533628e-01,4.898587196589412829e-16
3.995621097654847631e+00,1.871150554484353468e-01,4.898587196589412829e-16
3.995234489524988497e+00,1.951957317924843116e-01,4.898587196589412829e-16
3.994830077231152909e+00,2.033043384911921714e-01,4.898587196589412829e-16
3.994407839557152062e+00,2.114379608404429178e-01,4.898587196589412829e-16
3.993967762452588222e+00,2.195939718878153479e-01,4.898587196589412829e-16
3.993509837902873283e+00,2.277700036724952248e-01,4.898587196589412829e-16
3.993034062943405793e+00,2.359639213389969903e-01,4.898587196589412829e-16
3.992540438802452574e+00,2.441737998375718144e-01,4.898587196589412829e-16
3.992028970158532530e+00,2.523979029528696238e-01,4.898587196589412829e-16
3.991499664499343680e+00,2.606346644282506175e-01,4.898587196589412829e-16
3.990952531570453488e+00,2.688826709763754153e-01,4.898587196589412829e-16
3.990387582903105024e+00,2.771406469876200318e-01,4.898587196589412829e-16
3.989804831411557728e+00,2.854074407666897795e-01,4.898587196589412829e-16
3.989204291051362983e+00,2.936820121447570320e-01,4.898587196589412829e-16
3.988585976530889532e+00,3.019634213296870096e-01,4.898587196589412829e-16
3.987949903069255786e+00,3.102508188706570857e-01,4.898587196589412829e-16
3.987296086194579647e+00,3.185434366258177441e-01,4.898587196589412829e-16
3.986624541577160397e+00,3.268405796327851220e-01,4.898587196589412829e-16
