ref_vel_x (m/s),ref_vel_y (m/s),ref_vel_z (m/s)
3.000000000000000000e+00,-1.836970198721029688e-16,3.673940397442059375e-16
2.999999962988983526e+00,4.712388961004968825e-04,3.673940397442059375e-16
2.999999688737356784e+00,1.366592757047956682e-03,3.673940397442059375e-16
2.999998835185663015e+00,2.643649875844350690e-03,3.673940397442059375e-16
2.999996969375593459e+00,4.264239352426556218e-03,3.673940397442059375e-16
2.999993605706480881e+00,6.194006799003977728e-03,3.673940397442059375e-16
2.999988234285284605e+00,8.402032483959693751e-03,3.673940397442059375e-16
2.999980341570131159e+00,1.086048768514062506e-02,3.673940397442059375e-16
2.999969425052267713e+00,1.354432543781148787e-02,3.673940397442059375e-16
2.999955003356787664e+00,1.643100223887372299e-02,3.673940397442059375e-16
2.999936622851083090e+00,1.950022760989018542e-02,3.673940397442059375e-16
2.999913861617257815e+00,2.273373872969838144e-02,3.673940397442059375e-16
2.999886331459243216e+00,2.611509762574061588e-02,3.673940397442059375e-16
2.999853678467720997e+00,2.962950866425940327e-02,3.673940397442059375e-16
2.999815582548738480e+00,3.326365430576445903e-02,3.673940397442059375e-16
2.999771756229018038e+00,3.700554729593846792e-02,3.673940397442059375e-16
2.999721942977543243e+00,4.084439764560204161e-02,3.673940397442059375e-16
2.999665915225199875e+00,4.477049291848038404e-02,3.673940397442059375e-16
2.999603472218836053e+00,4.877509049406743291e-02,3.673940397442059375e-16
2.999534437810605247e+00,5.285032060655608932e-02,3.673940397442059375e-16
2.999458658255841126e+00,5.698909908104392297e-02,3.673940397442059375e-16
2.999376000071312109e+00,6.118504879639270755e-02,3.673940397442059375e-16
2.999286347989297052e+00,6.543242900141595098e-02,3.673940397442059375e-16
2.999189603030372631e+00,6.972607169859330878e-02,3.673940397442059375e-16
2.999085680708348800e+00,7.406132438824378217e-02,3.673940397442059375e-16
2.998974509373747654e+00,7.843399853691497559e-02,3.673940397442059375e-16
2.998856028697033160e+00,8.284032319746255368e-02,3.673940397442059375e-16
2.998730188289097320e+00,8.727690326561508838e-02,3.673940397442059375e-16
