ref_vel_x (m/s),ref_vel_y (m/s),ref_vel_z (m/s)
1.999766820753214436e+00,3.053952544787712567e-02,2.449293598294706414e-16
1.999750827716655577e+00,3.156940047816681610e-02,2.449293598294706414e-16
1.999734276263605448e+00,3.260098674081120251e-02,2.449293598294706414e-16
1.999717166629494614e+00,3.363411195953327354e-02,2.449293598294706414e-16
1.999699499103303024e+00,3.466862105706853409e-02,2.449293598294706414e-16
1.999681274014982746e+00,3.570437443529253518e-02,2.449293598294706414e-16
1.999662491724782498e+00,3.674124642733077317e-02,2.449293598294706414e-16
1.999643152614238861e+00,3.777912390445041513e-02,2.449293598294706414e-16
1.999623257078613436e+00,3.881790502225920814e-02,2.449293598294706414e-16
1.999602805520592330e+00,3.985749809227999430e-02,2.449293598294706414e-16
1.999581798345074324e+00,4.089782056636472735e-02,2.449293598294706414e-16
1.999560235954902732e+00,4.193879812266423229e-02,2.449293598294706414e-16
1.999538118747407944e+00,4.298036384299819268e-02,2.449293598294706414e-16
1.999515447111645416e+00,4.402245747248792473e-02,2.449293598294706414e-16
1.999492221426227845e+00,4.506502475322234774e-02,2.449293598294706414e-16
1.999468442057665163e+00,4.610801682455781259e-02,2.449293598294706414e-16
1.999444109359130195e+00,4.715138968338553754e-02,2.449293598294706414e-16
1.999419223669589352e+00,4.819510369837373687e-02,2.449293598294706414e-16
1.999393785313232197e+00,4.923912317278294343e-02,2.449293598294706414e-16
1.999367794599157477e+00,5.028341595100047773e-02,2.449293598294706414e-16
1.999341251821263432e+00,5.132795306442115152e-02,2.449293598294706414e-16
1.999314157258311964e+00,5.237270841273982541e-02,2.449293598294706414e-16
1.999286511174129366e+00,5.341765847711504173e-02,2.449293598294706414e-16
1.999258313817918298e+00,5.446278206201504019e-02,2.449293598294706414e-16
1.999229565424655242e+00,5.550806006288119820e-02,2.449293598294706414e-16
1.999200266215556798e+00,5.655347525702421330e-02,2.449293598294706414e-16
1.999170416398593719e+00,5.759901211543075328e-02,2.449293598294706414e-16
1.999140016169040468e+00,5.864465663339009371e-02,2.449293598294706414e-16
1.999109065710049427e+00,5.969039617805824843e-02,2.449293598294706414e-16
1.999077565193235539e+00,6.073621935126644750e-02,2.449293598294706414e-16
1.999045514779269395e+00,6.178211586604814842e-02,2.449293598294706414e-16
1.999012914618465642e+00,6.282807643551346910e-02,2.449293598294706414e-16
1.998979764851365859e+00,6.387409267283773728e-02,2.449293598294706414e-16
1.998946065609308320e+00,6.492015700125124134e-02,2.449293598294706414e-16
1.998911817014984438e+00,6.596626257302862228e-02,2.449293598294706414e-16
1.998877019182975889e+00,6.701240319658163802e-02,2.449293598294706414e-16
1.998841672220273091e+00,6.805857327084184616e-02,2.449293598294706414e-16
1.998805776226771691e+00,6.910476772620542663e-02,2.449293598294706414e-16
1.998769331295747742e+00,7.015098197138400216e-02,2.449293598294706414e-16
1.998732337514309787e+00,7.119721184557020743e-02,2.449293598294706414e-16
1.998694794963828514e+00,7.224345357538765333e-02,2.449293598294706414e-16
1.998656703720343319e+00,7.328970373614490663e-02,2.449293598294706414e-16
1.998618063854946225e+00,7.433595921696567466e-02,2.449293598294706414e-16
1.998578875434144475e+00,7.538221718940474325e-02,2.449293598294706414e-16
1.998539138520201153e+00,7.642847507920437489e-02,2.449293598294706414e-16
1.998498853171454481e+00,7.747473054087292144e-02,2.449293598294706414e-16
1.998458019442618916e+00,7.852098143480773507e-02,2.449293598294706414e-16
1.998416637385063588e+00,7.956722580670443079e-02,2.449293598294706414e-16
1.998374707047076981e+00,8.061346186902661193e-02,2.449293598294706414e-16
