ref_accel_x (m/s^2),ref_accel_y (m/s^2),ref_accel_z (m/s^2)
1.045613524226795404e-01,-1.199522188670009716e-15,9.794830092457530668e+00
1.045617337676337522e-01,-1.199522188687925536e-15,9.794829963225900826e+00
1.045620769575416054e-01,-1.199522188705840567e-15,9.794829833996921309e+00
1.045623858079082896e-01,-1.199522188723755401e-15,9.794829704770673828e+00
1.045626637526884395e-01,-1.199522188741669644e-15,9.794829575547236544e+00
1.045629138824412940e-01,-1.199522188759583492e-15,9.794829446326685840e+00
1.045631389786702004e-01,-1.199522188777497142e-15,9.794829317109090994e+00
1.045633415447280723e-01,-1.199522188795409807e-15,9.794829187894514178e+00
1.045635238336326128e-01,-1.199522188813322669e-15,9.794829058683024670e+00
1.045636878730997615e-01,-1.199522188831234544e-15,9.794828929474675761e+00
1.045638354880737975e-01,-1.199522188849146420e-15,9.794828800269534952e+00
1.045639683210046605e-01,-1.199522188867057507e-15,9.794828671067648429e+00
1.045640878500972842e-01,-1.199522188884968199e-15,9.794828541869076588e+00
1.045641954057360962e-01,-1.199522188902878103e-15,9.794828412673865614e+00
1.045642921852670548e-01,-1.199522188920788006e-15,9.794828283482072351e+00
1.045643792663016047e-01,-1.199522188938697121e-15,9.794828154293739431e+00
1.045644576186900016e-01,-1.199522188956605644e-15,9.794828025108916592e+00
1.045645281152974976e-01,-1.199522188974514167e-15,9.794827895927655348e+00
1.045645915417027783e-01,-1.199522188992421901e-15,9.794827766749991227e+00
1.045646486049267992e-01,-1.199522189010329044e-15,9.794827637575973966e+00
1.045646999412882389e-01,-1.199522189028235595e-15,9.794827508405644423e+00
1.045647461234740644e-01,-1.199522189046141751e-15,9.794827379239048781e+00
1.045647876669024839e-01,-1.199522189064047316e-15,9.794827250076224345e+00
1.045648250354498793e-01,-1.199522189081952289e-15,9.794827120917213747e+00
1.045648586466050717e-01,-1.199522189099856671e-15,9.794826991762061397e+00
1.045648888761079032e-01,-1.199522189117760855e-15,9.794826862610802820e+00
1.045649160621243134e-01,-1.199522189135664448e-15,9.794826733463480650e+00
1.045649405090036538e-01,-1.199522189153567252e-15,9.794826604320128638e+00
1.045649624906603015e-01,-1.199522189171469464e-15,9.794826475180791192e+00
1.045649822536172391e-01,-1.199522189189371282e-15,9.794826346045507393e+00
1.045650000197451412e-01,-1.199522189207272508e-15,9.794826216914310990e+00
1.045650159887275971e-01,-1.199522189225173142e-15,9.794826087787241065e+00
1.045650303402798909e-01,-1.199522189243072790e-15,9.794825958664333143e+00
1.045650432361457383e-01,-1.199522189260972636e-15,9.794825829545631635e+00
1.045650548218945292e-01,-1.199522189278871496e-15,9.794825700431168514e+00
1.045650652285387144e-01,-1.199522189296769566e-15,9.794825571320981084e+00
1.045650745739894749e-01,-1.199522189314667045e-15,9.794825442215104871e+00
