gyro_x (deg/s),gyro_y (deg/s),gyro_z (deg/s)
-9.018205188478225571e-06,3.543207813446885412e-03,2.214041970068620843e-03
-9.018205188349876362e-06,3.543207809962041054e-03,2.214041975645536942e-03
-9.018205188221527154e-06,3.543207806477197564e-03,2.214041981222453041e-03
-9.018205188093176251e-06,3.543207802992354074e-03,2.214041986799369140e-03
-9.018205187964825349e-06,3.543207799507509716e-03,2.214041992376285239e-03
-9.018205187836476140e-06,3.543207796022665359e-03,2.214041997953200471e-03
-9.018205187708125238e-06,3.543207792537821869e-03,2.214042003530117004e-03
-9.018205187579772641e-06,3.543207789052977511e-03,2.214042009107032669e-03
-9.018205187451423433e-06,3.543207785568134021e-03,2.214042014683948768e-03
-9.018205187323075919e-06,3.543207782083289663e-03,2.214042020260864867e-03
-9.018205187194725016e-06,3.543207778598446173e-03,2.214042025837780966e-03
-9.018205187066374114e-06,3.543207775113601816e-03,2.214042031414696632e-03
-9.018205186938024905e-06,3.543207771628758326e-03,2.214042036991613165e-03
-9.018205186809674003e-06,3.543207768143913968e-03,2.214042042568528830e-03
-9.018205186681323100e-06,3.543207764659069611e-03,2.214042048145444495e-03
-9.018205186552972198e-06,3.543207761174226120e-03,2.214042053722360161e-03
-9.018205186424622989e-06,3.543207757689381763e-03,2.214042059299276693e-03
-9.018205186296272087e-06,3.543207754204538273e-03,2.214042064876192359e-03
-9.018205186167922878e-06,3.543207750719693915e-03,2.214042070453108458e-03
-9.018205186039573670e-06,3.543207747234849558e-03,2.214042076030024123e-03
-9.018205185911224461e-06,3.543207743750005200e-03,2.214042081606940656e-03
-9.018205185782871865e-06,3.543207740265160843e-03,2.214042087183856321e-03
-9.018205185654520962e-06,3.543207736780317352e-03,2.214042092760771987e-03
-9.018205185526171754e-06,3.543207733295472995e-03,2.214042098337687652e-03
-9.018205185397820851e-06,3.543207729810629505e-03,2.214042103914603751e-03
-9.018205185269469949e-06,3.543207726325784714e-03,2.214042109491519417e-03
-9.018205185141120740e-06,3.543207722840941223e-03,2.214042115068435949e-03
-9.018205185012771532e-06,3.543207719356096866e-03,2.214042120645351615e-03
-9.018205184884420630e-06,3.543207715871252508e-03,2.214042126222267714e-03
-9.018205184756071421e-06,3.543207712386408151e-03,2.214042131799183813e-03
