ref_accel_x (m/s^2),ref_accel_y (m/s^2),ref_accel_z (m/s^2)
-7.728464431007835427e-05,-1.199522186948852877e-15,9.794841814867666585e+00
-7.728464450474945642e-05,-1.199522186957820056e-15,9.794841814940888014e+00
-7.728464469942054502e-05,-1.199522186966787236e-15,9.794841815014111219e+00
-7.728464489409164718e-05,-1.199522186975754217e-15,9.794841815087332648e+00
-7.728464508876273578e-05,-1.199522186984721594e-15,9.794841815160555853e+00
-7.728464528343381083e-05,-1.199522186993688576e-15,9.794841815233777282e+00
-7.728464547810491299e-05,-1.199522187002655558e-15,9.794841815306998711e+00
-7.728464567277600159e-05,-1.199522187011622737e-15,9.794841815380220140e+00
-7.728464586744709019e-05,-1.199522187020589916e-15,9.794841815453443346e+00
-7.728464606211819235e-05,-1.199522187029557095e-15,9.794841815526666551e+00
-7.728464625678928095e-05,-1.199522187038524274e-15,9.794841815599887980e+00
-7.728464645146036955e-05,-1.199522187047491453e-15,9.794841815673111185e+00
-7.728464664613147171e-05,-1.199522187056458435e-15,9.794841815746332614e+00
-7.728464684080256031e-05,-1.199522187065425811e-15,9.794841815819555819e+00
-7.728464703547363536e-05,-1.199522187074392793e-15,9.794841815892777248e+00
-7.728464723014472396e-05,-1.199522187083359775e-15,9.794841815965998677e+00
-7.728464742481582612e-05,-1.199522187092326954e-15,9.794841816039220106e+00
-7.728464761948691472e-05,-1.199522187101294134e-15,9.794841816112443311e+00
-7.728464781415800332e-05,-1.199522187110261115e-15,9.794841816185664740e+00
-7.728464800882909192e-05,-1.199522187119228492e-15,9.794841816258887945e+00
-7.728464820350019408e-05,-1.199522187128195474e-15,9.794841816332109374e+00
-7.728464839817128268e-05,-1.199522187137162653e-15,9.794841816405332580e+00
-7.728464859284235773e-05,-1.199522187146129832e-15,9.794841816478554009e+00
-7.728464878751344633e-05,-1.199522187155096814e-15,9.794841816551775437e+00
-7.728464898218453494e-05,-1.199522187164063796e-15,9.794841816624996866e+00
-7.728464917685562354e-05,-1.199522187173030778e-15,9.794841816698218295e+00
-7.728464937152672569e-05,-1.199522187181998154e-15,9.794841816771441501e+00
-7.728464956619781430e-05,-1.199522187190965333e-15,9.794841816844664706e+00
-7.728464976086890290e-05,-1.199522187199932709e-15,9.794841816917887911e+00
-7.728464995554000505e-05,-1.199522187208899691e-15,9.794841816991109340e+00
-7.728465015021108010e-05,-1.199522187217866871e-15,9.794841817064332545e+00
-7.728465034488216871e-05,-1.199522187226834050e-15,9.794841817137553974e+00
-7.728465053955325731e-05,-1.199522187235801032e-15,9.794841817210775403e+00
-7.728465073422434591e-05,-1.199522187244768211e-15,9.794841817283998608e+00
-7.728465092889543451e-05,-1.199522187253735390e-15,9.794841817357220037e+00
-7.728465112356652312e-05,-1.199522187262702372e-15,9.794841817430441466e+00
-7.728465131823759817e-05,-1.199522187271669354e-15,9.794841817503662895e+00
-7.728465151290868677e-05,-1.199522187280636730e-15,9.794841817576886100e+00
-7.728465170757977537e-05,-1.199522187289603909e-15,9.794841817650109306e+00
-7.728465190225086397e-05,-1.199522187298570891e-15,9.794841817723330735e+00
-7.728465209692195258e-05,-1.199522187307538267e-15,9.794841817796553940e+00
-7.728465229159304118e-05,-1.199522187316505052e-15,9.794841817869773593e+00
-7.728465248626411623e-05,-1.199522187325472231e-15,9.794841817942996798e+00
-7.728465268093520483e-05,-1.199522187334439213e-15,9.794841818016218227e+00
-7.728465287560627988e-05,-1.199522187343406589e-15,9.794841818089441432e+00
-7.728465307027736848e-05,-1.199522187352373571e-15,9.794841818162662861e+00
-7.728465326494844353e-05,-1.199522187361340948e-15,9.794841818235886066e+00
-7.728465345961953213e-05,-1.199522187370308127e-15,9.794841818309109271e+00
-7.728465365429062074e-05,-1.199522187379275109e-15,9.794841818382330700e+00
-7.728465384896170934e-05,-1.199522187388242091e-15,9.794841818455552129e+00
-7.728465404363279794e-05,-1.199522187397209467e-15,9.794841818528775335e+00
-7.728465423830385944e-05,-1.199522187406176449e-15,9.794841818601996764e+00
-7.728465443297494804e-05,-1.199522187415143431e-15,9.794841818675218192e+00
-7.728465462764603664e-05,-1.199522187424110610e-15,9.794841818748439621e+00
-7.728465482231712525e-05,-1.199522187433077789e-15,9.794841818821662827e+00
-7.728465501698821385e-05,-1.199522187442045165e-15,9.794841818894886032e+00
-7.728465521165927535e-05,-1.199522187451012147e-15,9.794841818968107461e+00
-7.728465540633036395e-05,-1.199522187459979326e-15,9.794841819041330666e+00
-7.728465560100145255e-05,-1.199522187468946506e-15,9.794841819114552095e+00
-7.728465579567254115e-05,-1.199522187477913487e-15,9.794841819187773524e+00
-7.728465599034361620e-05,-1.199522187486880469e-15,9.794841819260994953e+00
-7.728465618501469125e-05,-1.199522187495847648e-15,9.794841819334218158e+00
-7.728465637968577986e-05,-1.199522187504814828e-15,9.794841819407439587e+00
-7.728465657435685491e-05,-1.199522187513782007e-15,9.794841819480662792e+00
-7.728465676902794351e-05,-1.199522187522749383e-15,9.794841819553885998e+00
-7.728465696369901856e-05,-1.199522187531716562e-15,9.794841819627109203e+00
-7.728465715837009361e-05,-1.199522187540683544e-15,9.794841819700330632e+00
-7.728465735304118221e-05,-1.199522187549650329e-15,9.794841819773550284e+00
-7.728465754771227081e-05,-1.199522187558617705e-15,9.794841819846773490e+00
-7.728465774238333231e-05,-1.199522187567584884e-15,9.794841819919996695e+00
-7.728465793705442091e-05,-1.199522187576551866e-15,9.794841819993218124e+00
-7.728465813172550952e-05,-1.199522187585519045e-15,9.794841820066439553e+00
-7.728465832639658457e-05,-1.199522187594486027e-15,9.794841820139660982e+00
-7.728465852106767317e-05,-1.199522187603453601e-15,9.794841820212885963e+00
-7.728465871573873467e-05,-1.199522187612420583e-15,9.794841820286107392e+00
-7.728465891040982327e-05,-1.199522187621387565e-15,9.794841820359328821e+00
-7.728465910508089832e-05,-1.199522187630354546e-15,9.794841820432550250e+00
-7.728465929975197337e-05,-1.199522187639321726e-15,9.794841820505771679e+00
-7.728465949442304842e-05,-1.199522187648288905e-15,9.794841820578994884e+00
-7.728465968909413702e-05,-1.199522187657255887e-15,9.794841820652216313e+00
-7.728465988376521207e-05,-1.199522187666223066e-15,9.794841820725437742e+00
-7.728466007843628712e-05,-1.199522187675190442e-15,9.794841820798662724e+00
-7.728466027310736217e-05,-1.199522187684157818e-15,9.794841820871885929e+00
-7.728466046777845077e-05,-1.199522187693124800e-15,9.794841820945107358e+00
-7.728466066244951227e-05,-1.199522187702091782e-15,9.794841821018328787e+00
-7.728466085712060087e-05,-1.199522187711058764e-15,9.794841821091550216e+00
-7.728466105179167592e-05,-1.199522187720026140e-15,9.794841821164773421e+00
-7.728466124646275097e-05,-1.199522187728993122e-15,9.794841821237994850e+00
-7.728466144113382602e-05,-1.199522187737960104e-15,9.794841821311216279e+00
-7.728466163580490107e-05,-1.199522187746927283e-15,9.794841821384437708e+00
-7.728466183047598968e-05,-1.199522187755894660e-15,9.794841821457662689e+00
-7.728466202514705117e-05,-1.199522187764861642e-15,9.794841821530884118e+00
-7.728466221981812622e-05,-1.199522187773828821e-15,9.794841821604105547e+00
-7.728466241448921482e-05,-1.199522187782795803e-15,9.794841821677326976e+00
-7.728466260916028987e-05,-1.199522187791762982e-15,9.794841821750550181e+00
-7.728466280383135137e-05,-1.199522187800730161e-15,9.794841821823771610e+00
-7.728466299850242642e-05,-1.199522187809697143e-15,9.794841821896993039e+00
-7.728466319317351502e-05,-1.199522187818664125e-15,9.794841821970214468e+00
-7.728466338784457652e-05,-1.199522187827631304e-15,9.794841822043435897e+00
-7.728466358251565157e-05,-1.199522187836598877e-15,9.794841822116662655e+00
-7.728466377718674017e-05,-1.199522187845565859e-15,9.794841822189884084e+00
-7.728466397185780167e-05,-1.199522187854533039e-15,9.794841822263105513e+00
-7.728466416652887672e-05,-1.199522187863500020e-15,9.794841822336326942e+00
-7.728466436119995177e-05,-1.199522187872467200e-15,9.794841822409550147e+00
-7.728466455587101327e-05,-1.199522187881434379e-15,9.794841822482771576e+00
-7.728466475054210187e-05,-1.199522187890401361e-15,9.794841822555993005e+00
-7.728466494521317692e-05,-1.199522187899368342e-15,9.794841822629214434e+00
