ref_pos_lat (deg),ref_pos_lon (deg),ref_pos_alt (m)
3.200000000000000000e+01,1.199999999999999858e+02,0.000000000000000000e+00
3.200000045091025669e+01,1.199999999999999858e+02,-6.123233995736766344e-18
3.200000090182052048e+01,1.199999999999999858e+02,-1.224646799147353269e-17
3.200000135273077717e+01,1.199999999999999858e+02,-1.836970198721030057e-17
3.200000180364103386e+01,1.199999999999999858e+02,-2.449293598294706538e-17
3.200000225455129765e+01,1.199999999999999858e+02,-3.061616997868383018e-17
3.200000270546156145e+01,1.199999999999999858e+02,-3.673940397442059498e-17
3.200000315637181814e+01,1.199999999999999858e+02,-4.286263797015735979e-17
3.200000360728207482e+01,1.199999999999999858e+02,-4.898587196589412459e-17
3.200000405819233862e+01,1.199999999999999858e+02,-5.510910596163088939e-17
3.200000450910259531e+01,1.199999999999999858e+02,-6.123233995736766036e-17
3.200000496001285200e+01,1.199999999999999858e+02,-6.735557395310442516e-17
3.200000541092310868e+01,1.199999999999999858e+02,-7.347880794884118997e-17
3.200000586183337248e+01,1.199999999999999858e+02,-7.960204194457795477e-17
3.200000631274362917e+01,1.199999999999999858e+02,-8.572527594031471957e-17
3.200000676365388586e+01,1.199999999999999858e+02,-9.184850993605148438e-17
3.200000721456414965e+01,1.199999999999999858e+02,-9.797174393178824918e-17
3.200000766547440634e+01,1.199999999999999858e+02,-1.040949779275250140e-16
3.200000811638466303e+01,1.199999999999999858e+02,-1.102182119232617788e-16
3.200000856729491971e+01,1.199999999999999858e+02,-1.163414459189985436e-16
3.200000901820518351e+01,1.199999999999999858e+02,-1.224646799147353207e-16
3.200000946911544020e+01,1.199999999999999858e+02,-1.285879139104720978e-16
3.200000992002569689e+01,1.199999999999999858e+02,-1.347111479062088750e-16
3.200001037093596068e+01,1.199999999999999858e+02,-1.408343819019456521e-16
3.200001082184621737e+01,1.199999999999999858e+02,-1.469576158976824292e-16
3.200001127275647406e+01,1.199999999999999858e+02,-1.530808498934192064e-16
3.200001172366673075e+01,1.199999999999999858e+02,-1.592040838891559835e-16
3.200001217457699454e+01,1.199999999999999858e+02,-1.653273178848927606e-16
