ref_accel_x (m/s^2),ref_accel_y (m/s^2),ref_accel_z (m/s^2)
-1.816864110825535718e-04,9.912720364319109745e-01,9.794841109303796145e+00
-1.824525134126102170e-04,9.921448327887197882e-01,9.794841102124630439e+00
-1.832192902940430173e-04,9.929303495098477095e-01,9.794841094908745660e+00
-1.839866742731521745e-04,9.936373145588628386e-01,9.794841087656715573e+00
-1.847546046416136058e-04,9.942735831029764215e-01,9.794841080369058872e+00
-1.855230267619409356e-04,9.948462247926787017e-01,9.794841073046237412e+00
-1.862918914604022916e-04,9.953616023134107538e-01,9.794841065688679294e+00
-1.870611544806444258e-04,9.958254420820695785e-01,9.794841058296766434e+00
-1.878307759919550692e-04,9.962428978738624430e-01,9.794841050870846999e+00
-1.886007201466989233e-04,9.966186080864760655e-01,9.794841043411231851e+00
-1.893709546820098626e-04,9.969567472778283479e-01,9.794841035918203431e+00
-1.901414505613139335e-04,9.972610725500453688e-01,9.794841028392022864e+00
-1.909121816517004677e-04,9.975349652950407098e-01,9.794841020832913969e+00
-1.916831244335554744e-04,9.977814687655365278e-01,9.794841013241089911e+00
-1.924542577392321895e-04,9.980033218889827751e-01,9.794841005616742535e+00
-1.932255625178540953e-04,9.982029897000843643e-01,9.794840997960038820e+00
-1.939970216236382703e-04,9.983826907300757947e-01,9.794840990271133307e+00
-1.947686196253856441e-04,9.985444216570681375e-01,9.794840982550166331e+00
-1.955403426350229895e-04,9.986899794913611794e-01,9.794840974797264010e+00
-1.963121781532901346e-04,9.988209815422249838e-01,9.794840967012541810e+00
-1.970841149308585980e-04,9.989388833880024077e-01,9.794840959196100982e+00
-1.978561428433387175e-04,9.990449950492020781e-01,9.794840951348037450e+00
-1.986282527787853807e-04,9.991404955442817482e-01,9.794840943468432926e+00
-1.994004365364539255e-04,9.992264459898534401e-01,9.794840935557367345e+00
-2.001726867356798856e-04,9.993038013908679407e-01,9.794840927614906434e+00
-2.009449967338711044e-04,9.993734212517809690e-01,9.794840919641112365e+00
-2.017173605527004820e-04,9.994360791266027055e-01,9.794840911636040204e+00
-2.024897728116792123e-04,9.994924712139423573e-01,9.794840903599745019e+00
-2.032622286683734411e-04,9.995432240925480327e-01,9.794840895532272995e+00
-2.040347237645984840e-04,9.995889016832930629e-01,9.794840887433659660e+00
-2.048072541779936951e-04,9.996300115149636678e-01,9.794840879303949421e+00
-2.055798163784406838e-04,9.996670103634671678e-01,9.794840871143172478e+00
-2.063524071888383712e-04,9.997003093271202845e-01,9.794840862951360805e+00
-2.071250237498019093e-04,9.997302783944080895e-01,9.794840854728539270e+00
-2.078976634878905157e-04,9.997572505549671140e-01,9.794840846474738072e+00
-2.086703240870135118e-04,9.997815254994703027e-01,9.794840838189974974e+00
-2.094430034626949680e-04,9.998033729495231503e-01,9.794840829874273069e+00
-2.102156997389124080e-04,9.998230356545707576e-01,9.794840821527653674e+00
-2.109884112272514495e-04,9.998407320891135042e-01,9.794840813150125669e+00
-2.117611364081450681e-04,9.998566588802020316e-01,9.794840804741708595e+00
-2.125338739139886394e-04,9.998709929921817396e-01,9.794840796302421992e+00
-2.133066225139438970e-04,9.998838936929634880e-01,9.794840787832267637e+00
-2.140793811002621551e-04,9.998955043236670281e-01,9.794840779331263292e+00
-2.148521486759756333e-04,9.999059538913002143e-01,9.794840770799414287e+00
-2.156249243438189422e-04,9.999153585021700597e-01,9.794840762236738385e+00
-2.163977072962591406e-04,9.999238226519528983e-01,9.794840753643235587e+00
-2.171704968065224441e-04,9.999314403867575196e-01,9.794840745018914774e+00
-2.179432922205183014e-04,9.999382963480816233e-01,9.794840736363784828e+00
-2.187160929495710656e-04,9.999444667132733056e-01,9.794840727677849301e+00
-2.194888984638783522e-04,9.999500200419458862e-01,9.794840718961115300e+00
-2.202617082866239833e-04,9.999550180377512199e-01,9.794840710213591706e+00
-2.210345219886791941e-04,9.999595162339759424e-01,9.794840701435274966e+00
-2.218073391838339592e-04,9.999635646105782261e-01,9.794840692626173961e+00
-2.225801595245050152e-04,9.999672081495202258e-01,9.794840683786290469e+00
-2.233529826978734455e-04,9.999704873345680589e-01,9.794840674915631595e+00
-2.241258084224078870e-04,9.999734386011110976e-01,9.794840666014195563e+00
-2.248986364447359571e-04,9.999760947409999101e-01,9.794840657081989477e+00
-2.256714665368283904e-04,9.999784852668998081e-01,9.794840648119013338e+00
-2.264442984934647975e-04,9.999806367402096496e-01,9.794840639125265369e+00
-2.272171321299524497e-04,9.999825730661885403e-01,9.794840630100754453e+00
